Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,14.8,46
Bronx Community District 2,BX 02,202,18.5,27
Bronx Community District 3,BX 03,203,17.1,33
Bronx Community District 4,BX 04,204,25.1,7
Bronx Community District 5,BX 05,205,18.3,28
Bronx Community District 6,BX 06,206,21.4,19
Bronx Community District 7,BX 07,207,17.7,32
Bronx Community District 8,BX 08,208,22.9,14
Bronx Community District 9,BX 09,209,18,29
Bronx Community District 10,BX 10,210,16.4,38
Bronx Community District 11,BX 11,211,19.9,23
Bronx Community District 12,BX 12,212,12,55
Brooklyn Community District 1,BK 01,301,21.4,19
Brooklyn Community District 2,BK 02,302,14.5,48
Brooklyn Community District 3,BK 03,303,13.6,51
Brooklyn Community District 4,BK 04,304,16.2,39
Brooklyn Community District 5,BK 05,305,13,53
Brooklyn Community District 6,BK 06,306,14.9,45
Brooklyn Community District 7,BK 07,307,19.8,24
Brooklyn Community District 8,BK 08,308,14.5,48
Brooklyn Community District 9,BK 09,309,15,43
Brooklyn Community District 10,BK 10,310,24.1,10
Brooklyn Community District 11,BK 11,311,24.6,9
Brooklyn Community District 12,BK 12,312,28.2,1
Brooklyn Community District 13,BK 13,313,27.4,2
Brooklyn Community District 14,BK 14,314,19.5,25
Brooklyn Community District 15,BK 15,315,22.3,15
Brooklyn Community District 16,BK 16,316,15.7,40
Brooklyn Community District 17,BK 17,317,12.4,54
Brooklyn Community District 18,BK 18,318,13.5,52
Manhattan Community District 1,MN 01,101,26.4,4
Manhattan Community District 2,MN 02,102,14.6,47
Manhattan Community District 3,MN 03,103,17.8,31
Manhattan Community District 4,MN 04,104,18.8,26
Manhattan Community District 5,MN 05,105,17.9,30
Manhattan Community District 6,MN 06,106,14.1,50
Manhattan Community District 7,MN 07,107,22.3,15
Manhattan Community District 8,MN 08,108,24.1,10
Manhattan Community District 9,MN 09,109,16.6,36
Manhattan Community District 10,MN 10,110,11.4,56
Manhattan Community District 11,MN 11,111,16.5,37
Manhattan Community District 12,MN 12,112,15,43
Queens Community District 1,QN 01,401,21.8,18
Queens Community District 2,QN 02,402,15.6,41
Queens Community District 3,QN 03,403,20.4,22
Queens Community District 4,QN 04,404,27.4,2
Queens Community District 5,QN 05,405,16.9,34
Queens Community District 6,QN 06,406,25,8
Queens Community District 7,QN 07,407,25.9,5
Queens Community District 8,QN 08,408,23.8,13
Queens Community District 9,QN 09,409,15.1,42
Queens Community District 10,QN 10,410,21.9,17
Queens Community District 11,QN 11,411,24.1,10
Queens Community District 12,QN 12,412,11.1,57
Queens Community District 13,QN 13,413,11,58
Queens Community District 14,QN 14,414,7.9,59
Staten Island Community District 1,SI 01,501,25.7,6
Staten Island Community District 2,SI 02,502,16.9,34
Staten Island Community District 3,SI 03,503,21.3,21
