Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,17.9,42
Bronx Community District 2,BX 02,202,24.2,8
Bronx Community District 3,BX 03,203,22.5,16
Bronx Community District 4,BX 04,204,22.9,12
Bronx Community District 5,BX 05,205,16,51
Bronx Community District 6,BX 06,206,25.4,6
Bronx Community District 7,BX 07,207,16,51
Bronx Community District 8,BX 08,208,21.7,23
Bronx Community District 9,BX 09,209,18.5,39
Bronx Community District 10,BX 10,210,19,37
Bronx Community District 11,BX 11,211,18.3,40
Bronx Community District 12,BX 12,212,13.1,57
Brooklyn Community District 1,BK 01,301,19.3,36
Brooklyn Community District 2,BK 02,302,17.5,45
Brooklyn Community District 3,BK 03,303,19,37
Brooklyn Community District 4,BK 04,304,17.7,44
Brooklyn Community District 5,BK 05,305,19.4,34
Brooklyn Community District 6,BK 06,306,17.5,45
Brooklyn Community District 7,BK 07,307,22.6,15
Brooklyn Community District 8,BK 08,308,14.4,56
Brooklyn Community District 9,BK 09,309,15.4,54
Brooklyn Community District 10,BK 10,310,20.3,31
Brooklyn Community District 11,BK 11,311,25.6,4
Brooklyn Community District 12,BK 12,312,25.6,4
Brooklyn Community District 13,BK 13,313,29.6,2
Brooklyn Community District 14,BK 14,314,21.3,28
Brooklyn Community District 15,BK 15,315,25.2,7
Brooklyn Community District 16,BK 16,316,20.4,30
Brooklyn Community District 17,BK 17,317,14.5,55
Brooklyn Community District 18,BK 18,318,19.9,33
Manhattan Community District 1,MN 01,101,22.4,18
Manhattan Community District 2,MN 02,102,11.3,59
Manhattan Community District 3,MN 03,103,21.9,21
Manhattan Community District 4,MN 04,104,22.5,16
Manhattan Community District 5,MN 05,105,22,20
Manhattan Community District 6,MN 06,106,15.9,53
Manhattan Community District 7,MN 07,107,21.6,25
Manhattan Community District 8,MN 08,108,18,41
Manhattan Community District 9,MN 09,109,22.9,12
Manhattan Community District 10,MN 10,110,17.3,47
Manhattan Community District 11,MN 11,111,22.9,12
Manhattan Community District 12,MN 12,112,23,11
Queens Community District 1,QN 01,401,21.9,21
Queens Community District 2,QN 02,402,16.7,49
Queens Community District 3,QN 03,403,23.4,9
Queens Community District 4,QN 04,404,28.1,3
Queens Community District 5,QN 05,405,19.4,34
Queens Community District 6,QN 06,406,23.2,10
Queens Community District 7,QN 07,407,22.4,18
Queens Community District 8,QN 08,408,32.2,1
Queens Community District 9,QN 09,409,20,32
Queens Community District 10,QN 10,410,21.6,25
Queens Community District 11,QN 11,411,21.4,27
Queens Community District 12,QN 12,412,11.6,58
Queens Community District 13,QN 13,413,16.8,48
Queens Community District 14,QN 14,414,17.9,42
Staten Island Community District 1,SI 01,501,16.2,50
Staten Island Community District 2,SI 02,502,20.9,29
Staten Island Community District 3,SI 03,503,21.7,23
