Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,8,57
Bronx Community District 2,BX 02,202,18.8,13
Bronx Community District 3,BX 03,203,16.5,20
Bronx Community District 4,BX 04,204,8.2,55
Bronx Community District 5,BX 05,205,14.9,26
Bronx Community District 6,BX 06,206,22.1,8
Bronx Community District 7,BX 07,207,13.3,33
Bronx Community District 8,BX 08,208,15.4,24
Bronx Community District 9,BX 09,209,12.6,40
Bronx Community District 10,BX 10,210,16.9,19
Bronx Community District 11,BX 11,211,15.9,22
Bronx Community District 12,BX 12,212,24.3,6
Brooklyn Community District 1,BK 01,301,12.8,37
Brooklyn Community District 2,BK 02,302,9.3,51
Brooklyn Community District 3,BK 03,303,12.9,36
Brooklyn Community District 4,BK 04,304,10.3,47
Brooklyn Community District 5,BK 05,305,16.1,21
Brooklyn Community District 6,BK 06,306,5.2,59
Brooklyn Community District 7,BK 07,307,11.1,44
Brooklyn Community District 8,BK 08,308,17.4,17
Brooklyn Community District 9,BK 09,309,8.1,56
Brooklyn Community District 10,BK 10,310,18.2,15
Brooklyn Community District 11,BK 11,311,13,35
Brooklyn Community District 12,BK 12,312,14.5,28
Brooklyn Community District 13,BK 13,313,29.6,1
Brooklyn Community District 14,BK 14,314,13.8,32
Brooklyn Community District 15,BK 15,315,17.9,16
Brooklyn Community District 16,BK 16,316,17.3,18
Brooklyn Community District 17,BK 17,317,12.7,38
Brooklyn Community District 18,BK 18,318,10.6,46
Manhattan Community District 1,MN 01,101,10.3,47
Manhattan Community District 2,MN 02,102,14.6,27
Manhattan Community District 3,MN 03,103,12.2,42
Manhattan Community District 4,MN 04,104,12.7,38
Manhattan Community District 5,MN 05,105,8.8,54
Manhattan Community District 6,MN 06,106,9.1,52
Manhattan Community District 7,MN 07,107,24.4,5
Manhattan Community District 8,MN 08,108,19.4,10
Manhattan Community District 9,MN 09,109,15.2,25
Manhattan Community District 10,MN 10,110,11.5,43
Manhattan Community District 11,MN 11,111,9,53
Manhattan Community District 12,MN 12,112,6.3,58
Queens Community District 1,QN 01,401,13.2,34
Queens Community District 2,QN 02,402,19.2,11
Queens Community District 3,QN 03,403,19,12
Queens Community District 4,QN 04,404,18.6,14
Queens Community District 5,QN 05,405,23.3,7
Queens Community District 6,QN 06,406,24.5,4
Queens Community District 7,QN 07,407,15.9,22
Queens Community District 8,QN 08,408,26.8,2
Queens Community District 9,QN 09,409,10.2,49
Queens Community District 10,QN 10,410,20.9,9
Queens Community District 11,QN 11,411,10,50
Queens Community District 12,QN 12,412,14.4,29
Queens Community District 13,QN 13,413,14,31
Queens Community District 14,QN 14,414,14.1,30
Staten Island Community District 1,SI 01,501,11.1,44
Staten Island Community District 2,SI 02,502,25,3
Staten Island Community District 3,SI 03,503,12.5,41
