Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,161,37
Bronx Community District 2,BX 02,202,59,55
Bronx Community District 3,BX 03,203,81,51
Bronx Community District 4,BX 04,204,244,27
Bronx Community District 5,BX 05,205,176,34
Bronx Community District 6,BX 06,206,106,48
Bronx Community District 7,BX 07,207,216,30
Bronx Community District 8,BX 08,208,116,46
Bronx Community District 9,BX 09,209,133,40
Bronx Community District 10,BX 10,210,46,57
Bronx Community District 11,BX 11,211,81,51
Bronx Community District 12,BX 12,212,112,47
Brooklyn Community District 1,BK 01,301,635,10
Brooklyn Community District 2,BK 02,302,746,9
Brooklyn Community District 3,BK 03,303,393,18
Brooklyn Community District 4,BK 04,304,382,20
Brooklyn Community District 5,BK 05,305,228,29
Brooklyn Community District 6,BK 06,306,621,12
Brooklyn Community District 7,BK 07,307,402,17
Brooklyn Community District 8,BK 08,308,231,28
Brooklyn Community District 9,BK 09,309,166,36
Brooklyn Community District 10,BK 10,310,192,32
Brooklyn Community District 11,BK 11,311,148,38
Brooklyn Community District 12,BK 12,312,127,42
Brooklyn Community District 13,BK 13,313,125,44
Brooklyn Community District 14,BK 14,314,198,31
Brooklyn Community District 15,BK 15,315,126,43
Brooklyn Community District 16,BK 16,316,129,41
Brooklyn Community District 17,BK 17,317,125,44
Brooklyn Community District 18,BK 18,318,89,49
Manhattan Community District 1,MN 01,101,1686,5
Manhattan Community District 2,MN 02,102,1846,4
Manhattan Community District 3,MN 03,103,1044,8
Manhattan Community District 4,MN 04,104,2615,2
Manhattan Community District 5,MN 05,105,6427,1
Manhattan Community District 6,MN 06,106,1565,6
Manhattan Community District 7,MN 07,107,2217,3
Manhattan Community District 8,MN 08,108,1110,7
Manhattan Community District 9,MN 09,109,317,24
Manhattan Community District 10,MN 10,110,577,13
Manhattan Community District 11,MN 11,111,534,14
Manhattan Community District 12,MN 12,112,393,18
Queens Community District 1,QN 01,401,521,15
Queens Community District 2,QN 02,402,624,11
Queens Community District 3,QN 03,403,363,23
Queens Community District 4,QN 04,404,466,16
Queens Community District 5,QN 05,405,272,26
Queens Community District 6,QN 06,406,367,21
Queens Community District 7,QN 07,407,288,25
Queens Community District 8,QN 08,408,88,50
Queens Community District 9,QN 09,409,184,33
Queens Community District 10,QN 10,410,65,54
Queens Community District 11,QN 11,411,42,58
Queens Community District 12,QN 12,412,364,22
Queens Community District 13,QN 13,413,144,39
Queens Community District 14,QN 14,414,71,53
Staten Island Community District 1,SI 01,501,174,35
Staten Island Community District 2,SI 02,502,53,56
Staten Island Community District 3,SI 03,503,40,59
