Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,202,29
Bronx Community District 2,BX 02,202,74,46
Bronx Community District 3,BX 03,203,32,59
Bronx Community District 4,BX 04,204,195,30
Bronx Community District 5,BX 05,205,123,34
Bronx Community District 6,BX 06,206,77,44
Bronx Community District 7,BX 07,207,305,20
Bronx Community District 8,BX 08,208,41,58
Bronx Community District 9,BX 09,209,59,50
Bronx Community District 10,BX 10,210,95,37
Bronx Community District 11,BX 11,211,42,57
Bronx Community District 12,BX 12,212,90,39
Brooklyn Community District 1,BK 01,301,2204,5
Brooklyn Community District 2,BK 02,302,636,12
Brooklyn Community District 3,BK 03,303,1326,7
Brooklyn Community District 4,BK 04,304,288,22
Brooklyn Community District 5,BK 05,305,346,19
Brooklyn Community District 6,BK 06,306,247,27
Brooklyn Community District 7,BK 07,307,445,15
Brooklyn Community District 8,BK 08,308,183,31
Brooklyn Community District 9,BK 09,309,116,35
Brooklyn Community District 10,BK 10,310,268,25
Brooklyn Community District 11,BK 11,311,83,43
Brooklyn Community District 12,BK 12,312,71,47
Brooklyn Community District 13,BK 13,313,59,50
Brooklyn Community District 14,BK 14,314,132,33
Brooklyn Community District 15,BK 15,315,105,36
Brooklyn Community District 16,BK 16,316,50,54
Brooklyn Community District 17,BK 17,317,89,40
Brooklyn Community District 18,BK 18,318,53,52
Manhattan Community District 1,MN 01,101,709,11
Manhattan Community District 2,MN 02,102,2499,4
Manhattan Community District 3,MN 03,103,3935,2
Manhattan Community District 4,MN 04,104,3754,3
Manhattan Community District 5,MN 05,105,4383,1
Manhattan Community District 6,MN 06,106,1228,8
Manhattan Community District 7,MN 07,107,1051,9
Manhattan Community District 8,MN 08,108,1452,6
Manhattan Community District 9,MN 09,109,440,16
Manhattan Community District 10,MN 10,110,437,17
Manhattan Community District 11,MN 11,111,1033,10
Manhattan Community District 12,MN 12,112,302,21
Queens Community District 1,QN 01,401,271,24
Queens Community District 2,QN 02,402,461,14
Queens Community District 3,QN 03,403,349,18
Queens Community District 4,QN 04,404,537,13
Queens Community District 5,QN 05,405,70,48
Queens Community District 6,QN 06,406,139,32
Queens Community District 7,QN 07,407,204,28
Queens Community District 8,QN 08,408,89,40
Queens Community District 9,QN 09,409,261,26
Queens Community District 10,QN 10,410,50,54
Queens Community District 11,QN 11,411,75,45
Queens Community District 12,QN 12,412,287,23
Queens Community District 13,QN 13,413,66,49
Queens Community District 14,QN 14,414,44,56
Staten Island Community District 1,SI 01,501,89,40
Staten Island Community District 2,SI 02,502,91,38
Staten Island Community District 3,SI 03,503,52,53
