Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,15.2,19
Bronx Community District 2,BX 02,202,16,13
Bronx Community District 3,BX 03,203,15.5,17
Bronx Community District 4,BX 04,204,15.6,16
Bronx Community District 5,BX 05,205,16.3,12
Bronx Community District 6,BX 06,206,15,21
Bronx Community District 7,BX 07,207,19,5
Bronx Community District 8,BX 08,208,14.1,24
Bronx Community District 9,BX 09,209,13.1,26
Bronx Community District 10,BX 10,210,16,13
Bronx Community District 11,BX 11,211,10.2,46
Bronx Community District 12,BX 12,212,7.7,53
Brooklyn Community District 1,BK 01,301,10.8,39
Brooklyn Community District 2,BK 02,302,7.6,54
Brooklyn Community District 3,BK 03,303,10.7,41
Brooklyn Community District 4,BK 04,304,6.5,56
Brooklyn Community District 5,BK 05,305,17.1,8
Brooklyn Community District 6,BK 06,306,11.7,33
Brooklyn Community District 7,BK 07,307,12.7,29
Brooklyn Community District 8,BK 08,308,8.5,49
Brooklyn Community District 9,BK 09,309,8.6,48
Brooklyn Community District 10,BK 10,310,10.8,39
Brooklyn Community District 11,BK 11,311,23.2,3
Brooklyn Community District 12,BK 12,312,15.2,19
Brooklyn Community District 13,BK 13,313,16.9,11
Brooklyn Community District 14,BK 14,314,17,9
Brooklyn Community District 15,BK 15,315,14.8,23
Brooklyn Community District 16,BK 16,316,15,21
Brooklyn Community District 17,BK 17,317,10.3,45
Brooklyn Community District 18,BK 18,318,10.9,37
Manhattan Community District 1,MN 01,101,10.9,37
Manhattan Community District 2,MN 02,102,5.7,59
Manhattan Community District 3,MN 03,103,11.6,34
Manhattan Community District 4,MN 04,104,6.5,56
Manhattan Community District 5,MN 05,105,12.1,32
Manhattan Community District 6,MN 06,106,314.1,1
Manhattan Community District 7,MN 07,107,12.6,30
Manhattan Community District 8,MN 08,108,6.3,58
Manhattan Community District 9,MN 09,109,8.1,50
Manhattan Community District 10,MN 10,110,17,9
Manhattan Community District 11,MN 11,111,13.2,25
Manhattan Community District 12,MN 12,112,7.5,55
Queens Community District 1,QN 01,401,13,27
Queens Community District 2,QN 02,402,15.9,15
Queens Community District 3,QN 03,403,13,27
Queens Community District 4,QN 04,404,23.8,2
Queens Community District 5,QN 05,405,10.7,41
Queens Community District 6,QN 06,406,8,51
Queens Community District 7,QN 07,407,17.7,6
Queens Community District 8,QN 08,408,17.6,7
Queens Community District 9,QN 09,409,10.1,47
Queens Community District 10,QN 10,410,10.6,43
Queens Community District 11,QN 11,411,20,4
Queens Community District 12,QN 12,412,11.6,34
Queens Community District 13,QN 13,413,11,36
Queens Community District 14,QN 14,414,7.9,52
Staten Island Community District 1,SI 01,501,10.5,44
Staten Island Community District 2,SI 02,502,15.4,18
Staten Island Community District 3,SI 03,503,12.5,31
