Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,127,39
Bronx Community District 2,BX 02,202,54,57
Bronx Community District 3,BX 03,203,86,49
Bronx Community District 4,BX 04,204,187,31
Bronx Community District 5,BX 05,205,102,45
Bronx Community District 6,BX 06,206,42,59
Bronx Community District 7,BX 07,207,393,16
Bronx Community District 8,BX 08,208,77,50
Bronx Community District 9,BX 09,209,101,47
Bronx Community District 10,BX 10,210,61,55
Bronx Community District 11,BX 11,211,77,50
Bronx Community District 12,BX 12,212,102,45
Brooklyn Community District 1,BK 01,301,618,11
Brooklyn Community District 2,BK 02,302,824,9
Brooklyn Community District 3,BK 03,303,417,14
Brooklyn Community District 4,BK 04,304,347,19
Brooklyn Community District 5,BK 05,305,240,27
Brooklyn Community District 6,BK 06,306,549,13
Brooklyn Community District 7,BK 07,307,327,21
Brooklyn Community District 8,BK 08,308,207,29
Brooklyn Community District 9,BK 09,309,174,33
Brooklyn Community District 10,BK 10,310,177,32
Brooklyn Community District 11,BK 11,311,168,34
Brooklyn Community District 12,BK 12,312,138,38
Brooklyn Community District 13,BK 13,313,146,37
Brooklyn Community District 14,BK 14,314,284,24
Brooklyn Community District 15,BK 15,315,160,36
Brooklyn Community District 16,BK 16,316,125,40
Brooklyn Community District 17,BK 17,317,109,43
Brooklyn Community District 18,BK 18,318,70,53
Manhattan Community District 1,MN 01,101,1403,6
Manhattan Community District 2,MN 02,102,1549,4
Manhattan Community District 3,MN 03,103,1412,5
Manhattan Community District 4,MN 04,104,1705,2
Manhattan Community District 5,MN 05,105,5724,1
Manhattan Community District 6,MN 06,106,1247,7
Manhattan Community District 7,MN 07,107,1625,3
Manhattan Community District 8,MN 08,108,979,8
Manhattan Community District 9,MN 09,109,388,17
Manhattan Community District 10,MN 10,110,381,18
Manhattan Community District 11,MN 11,111,396,15
Manhattan Community District 12,MN 12,112,345,20
Queens Community District 1,QN 01,401,578,12
Queens Community District 2,QN 02,402,693,10
Queens Community District 3,QN 03,403,227,28
Queens Community District 4,QN 04,404,242,26
Queens Community District 5,QN 05,405,125,40
Queens Community District 6,QN 06,406,252,25
Queens Community District 7,QN 07,407,309,23
Queens Community District 8,QN 08,408,109,43
Queens Community District 9,QN 09,409,167,35
Queens Community District 10,QN 10,410,77,50
Queens Community District 11,QN 11,411,47,58
Queens Community District 12,QN 12,412,327,21
Queens Community District 13,QN 13,413,119,42
Queens Community District 14,QN 14,414,68,54
Staten Island Community District 1,SI 01,501,205,30
Staten Island Community District 2,SI 02,502,61,55
Staten Island Community District 3,SI 03,503,91,48
