Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,170,30
Bronx Community District 2,BX 02,202,93,36
Bronx Community District 3,BX 03,203,57,45
Bronx Community District 4,BX 04,204,263,23
Bronx Community District 5,BX 05,205,140,33
Bronx Community District 6,BX 06,206,36,56
Bronx Community District 7,BX 07,207,191,29
Bronx Community District 8,BX 08,208,35,57
Bronx Community District 9,BX 09,209,49,48
Bronx Community District 10,BX 10,210,43,53
Bronx Community District 11,BX 11,211,87,37
Bronx Community District 12,BX 12,212,69,40
Brooklyn Community District 1,BK 01,301,1216,5
Brooklyn Community District 2,BK 02,302,679,10
Brooklyn Community District 3,BK 03,303,397,17
Brooklyn Community District 4,BK 04,304,347,20
Brooklyn Community District 5,BK 05,305,462,15
Brooklyn Community District 6,BK 06,306,254,24
Brooklyn Community District 7,BK 07,307,469,14
Brooklyn Community District 8,BK 08,308,252,25
Brooklyn Community District 9,BK 09,309,156,31
Brooklyn Community District 10,BK 10,310,84,38
Brooklyn Community District 11,BK 11,311,46,50
Brooklyn Community District 12,BK 12,312,69,40
Brooklyn Community District 13,BK 13,313,145,32
Brooklyn Community District 14,BK 14,314,137,34
Brooklyn Community District 15,BK 15,315,121,35
Brooklyn Community District 16,BK 16,316,35,57
Brooklyn Community District 17,BK 17,317,37,54
Brooklyn Community District 18,BK 18,318,27,59
Manhattan Community District 1,MN 01,101,619,13
Manhattan Community District 2,MN 02,102,3282,3
Manhattan Community District 3,MN 03,103,3060,4
Manhattan Community District 4,MN 04,104,3374,2
Manhattan Community District 5,MN 05,105,4520,1
Manhattan Community District 6,MN 06,106,1157,6
Manhattan Community District 7,MN 07,107,834,8
Manhattan Community District 8,MN 08,108,847,7
Manhattan Community District 9,MN 09,109,454,16
Manhattan Community District 10,MN 10,110,834,8
Manhattan Community District 11,MN 11,111,376,19
Manhattan Community District 12,MN 12,112,212,27
Queens Community District 1,QN 01,401,636,12
Queens Community District 2,QN 02,402,646,11
Queens Community District 3,QN 03,403,267,22
Queens Community District 4,QN 04,404,378,18
Queens Community District 5,QN 05,405,65,42
Queens Community District 6,QN 06,406,82,39
Queens Community District 7,QN 07,407,202,28
Queens Community District 8,QN 08,408,46,50
Queens Community District 9,QN 09,409,278,21
Queens Community District 10,QN 10,410,58,44
Queens Community District 11,QN 11,411,46,50
Queens Community District 12,QN 12,412,228,26
Queens Community District 13,QN 13,413,62,43
Queens Community District 14,QN 14,414,56,46
Staten Island Community District 1,SI 01,501,49,48
Staten Island Community District 2,SI 02,502,52,47
Staten Island Community District 3,SI 03,503,37,54
