Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,1935,18
Bronx Community District 2,BX 02,202,1543,26
Bronx Community District 3,BX 03,203,2438,13
Bronx Community District 4,BX 04,204,6594,1
Bronx Community District 5,BX 05,205,4164,2
Bronx Community District 6,BX 06,206,3224,9
Bronx Community District 7,BX 07,207,4079,4
Bronx Community District 8,BX 08,208,1404,28
Bronx Community District 9,BX 09,209,2605,12
Bronx Community District 10,BX 10,210,984,37
Bronx Community District 11,BX 11,211,1583,24
Bronx Community District 12,BX 12,212,3095,10
Brooklyn Community District 1,BK 01,301,1389,29
Brooklyn Community District 2,BK 02,302,638,50
Brooklyn Community District 3,BK 03,303,2630,11
Brooklyn Community District 4,BK 04,304,2083,17
Brooklyn Community District 5,BK 05,305,3253,8
Brooklyn Community District 6,BK 06,306,417,55
Brooklyn Community District 7,BK 07,307,688,47
Brooklyn Community District 8,BK 08,308,2132,16
Brooklyn Community District 9,BK 09,309,2297,14
Brooklyn Community District 10,BK 10,310,803,44
Brooklyn Community District 11,BK 11,311,1026,36
Brooklyn Community District 12,BK 12,312,1098,34
Brooklyn Community District 13,BK 13,313,718,46
Brooklyn Community District 14,BK 14,314,3474,7
Brooklyn Community District 15,BK 15,315,827,43
Brooklyn Community District 16,BK 16,316,1619,23
Brooklyn Community District 17,BK 17,317,3794,6
Brooklyn Community District 18,BK 18,318,1033,35
Manhattan Community District 1,MN 01,101,230,59
Manhattan Community District 2,MN 02,102,651,49
Manhattan Community District 3,MN 03,103,1319,30
Manhattan Community District 4,MN 04,104,1213,32
Manhattan Community District 5,MN 05,105,378,57
Manhattan Community District 6,MN 06,106,687,48
Manhattan Community District 7,MN 07,107,1698,20
Manhattan Community District 8,MN 08,108,1279,31
Manhattan Community District 9,MN 09,109,2189,15
Manhattan Community District 10,MN 10,110,4041,5
Manhattan Community District 11,MN 11,111,1663,21
Manhattan Community District 12,MN 12,112,4150,3
Queens Community District 1,QN 01,401,1444,27
Queens Community District 2,QN 02,402,786,45
Queens Community District 3,QN 03,403,855,42
Queens Community District 4,QN 04,404,1155,33
Queens Community District 5,QN 05,405,915,39
Queens Community District 6,QN 06,406,519,53
Queens Community District 7,QN 07,407,904,40
Queens Community District 8,QN 08,408,938,38
Queens Community District 9,QN 09,409,875,41
Queens Community District 10,QN 10,410,569,52
Queens Community District 11,QN 11,411,261,58
Queens Community District 12,QN 12,412,1745,19
Queens Community District 13,QN 13,413,509,54
Queens Community District 14,QN 14,414,1563,25
Staten Island Community District 1,SI 01,501,1620,22
Staten Island Community District 2,SI 02,502,399,56
Staten Island Community District 3,SI 03,503,598,51
