Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,2799,15
Bronx Community District 2,BX 02,202,2111,23
Bronx Community District 3,BX 03,203,3092,12
Bronx Community District 4,BX 04,204,6164,1
Bronx Community District 5,BX 05,205,5309,2
Bronx Community District 6,BX 06,206,3878,8
Bronx Community District 7,BX 07,207,5074,4
Bronx Community District 8,BX 08,208,2006,25
Bronx Community District 9,BX 09,209,3049,13
Bronx Community District 10,BX 10,210,1135,42
Bronx Community District 11,BX 11,211,2154,21
Bronx Community District 12,BX 12,212,3735,10
Brooklyn Community District 1,BK 01,301,1768,29
Brooklyn Community District 2,BK 02,302,977,45
Brooklyn Community District 3,BK 03,303,3031,14
Brooklyn Community District 4,BK 04,304,2268,18
Brooklyn Community District 5,BK 05,305,4191,7
Brooklyn Community District 6,BK 06,306,868,49
Brooklyn Community District 7,BK 07,307,1169,41
Brooklyn Community District 8,BK 08,308,3164,11
Brooklyn Community District 9,BK 09,309,2650,16
Brooklyn Community District 10,BK 10,310,856,50
Brooklyn Community District 11,BK 11,311,1218,39
Brooklyn Community District 12,BK 12,312,1446,31
Brooklyn Community District 13,BK 13,313,911,47
Brooklyn Community District 14,BK 14,314,3786,9
Brooklyn Community District 15,BK 15,315,1068,44
Brooklyn Community District 16,BK 16,316,2090,24
Brooklyn Community District 17,BK 17,317,4252,6
Brooklyn Community District 18,BK 18,318,1084,43
Manhattan Community District 1,MN 01,101,172,59
Manhattan Community District 2,MN 02,102,613,54
Manhattan Community District 3,MN 03,103,1493,30
Manhattan Community District 4,MN 04,104,1230,38
Manhattan Community District 5,MN 05,105,424,56
Manhattan Community District 6,MN 06,106,730,51
Manhattan Community District 7,MN 07,107,1921,26
Manhattan Community District 8,MN 08,108,1438,32
Manhattan Community District 9,MN 09,109,2633,17
Manhattan Community District 10,MN 10,110,5006,5
Manhattan Community District 11,MN 11,111,2259,19
Manhattan Community District 12,MN 12,112,5269,3
Queens Community District 1,QN 01,401,2173,20
Queens Community District 2,QN 02,402,876,48
Queens Community District 3,QN 03,403,1410,35
Queens Community District 4,QN 04,404,1429,34
Queens Community District 5,QN 05,405,1320,36
Queens Community District 6,QN 06,406,951,46
Queens Community District 7,QN 07,407,1218,39
Queens Community District 8,QN 08,408,1436,33
Queens Community District 9,QN 09,409,1255,37
Queens Community District 10,QN 10,410,694,53
Queens Community District 11,QN 11,411,238,58
Queens Community District 12,QN 12,412,2126,22
Queens Community District 13,QN 13,413,700,52
Queens Community District 14,QN 14,414,1825,28
Staten Island Community District 1,SI 01,501,1904,27
Staten Island Community District 2,SI 02,502,442,55
Staten Island Community District 3,SI 03,503,394,57
