Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,14.5,59
Bronx Community District 2,BX 02,202,19.9,55
Bronx Community District 3,BX 03,203,16.3,57
Bronx Community District 4,BX 04,204,18.7,56
Bronx Community District 5,BX 05,205,14.8,58
Bronx Community District 6,BX 06,206,23.2,52
Bronx Community District 7,BX 07,207,20.6,54
Bronx Community District 8,BX 08,208,59.7,17
Bronx Community District 9,BX 09,209,45.8,35
Bronx Community District 10,BX 10,210,72.8,4
Bronx Community District 11,BX 11,211,48.9,31
Bronx Community District 12,BX 12,212,44.6,36
Brooklyn Community District 1,BK 01,301,32.3,42
Brooklyn Community District 2,BK 02,302,49.5,29
Brooklyn Community District 3,BK 03,303,27,49
Brooklyn Community District 4,BK 04,304,25.4,51
Brooklyn Community District 5,BK 05,305,29.5,46
Brooklyn Community District 6,BK 06,306,57.3,20
Brooklyn Community District 7,BK 07,307,49.7,28
Brooklyn Community District 8,BK 08,308,38.5,40
Brooklyn Community District 9,BK 09,309,29.7,45
Brooklyn Community District 10,BK 10,310,60.7,15
Brooklyn Community District 11,BK 11,311,60.6,16
Brooklyn Community District 12,BK 12,312,56,21
Brooklyn Community District 13,BK 13,313,42.6,38
Brooklyn Community District 14,BK 14,314,46.1,34
Brooklyn Community District 15,BK 15,315,57.9,19
Brooklyn Community District 16,BK 16,316,21.1,53
Brooklyn Community District 17,BK 17,317,31.9,44
Brooklyn Community District 18,BK 18,318,51.3,27
Manhattan Community District 1,MN 01,101,47,33
Manhattan Community District 2,MN 02,102,43.8,37
Manhattan Community District 3,MN 03,103,29.1,48
Manhattan Community District 4,MN 04,104,51.9,25
Manhattan Community District 5,MN 05,105,61.5,14
Manhattan Community District 6,MN 06,106,63.4,10
Manhattan Community District 7,MN 07,107,54.5,24
Manhattan Community District 8,MN 08,108,61.6,13
Manhattan Community District 9,MN 09,109,32.2,43
Manhattan Community District 10,MN 10,110,29.2,47
Manhattan Community District 11,MN 11,111,26.9,50
Manhattan Community District 12,MN 12,112,34.2,41
Queens Community District 1,QN 01,401,54.9,23
Queens Community District 2,QN 02,402,49.1,30
Queens Community District 3,QN 03,403,55,22
Queens Community District 4,QN 04,404,41.3,39
Queens Community District 5,QN 05,405,59.1,18
Queens Community District 6,QN 06,406,66.5,6
Queens Community District 7,QN 07,407,62,11
Queens Community District 8,QN 08,408,69.4,5
Queens Community District 9,QN 09,409,51.8,26
Queens Community District 10,QN 10,410,65.1,8
Queens Community District 11,QN 11,411,79.3,1
Queens Community District 12,QN 12,412,47.1,32
Queens Community District 13,QN 13,413,63.8,9
Queens Community District 14,QN 14,414,61.8,12
Staten Island Community District 1,SI 01,501,65.5,7
Staten Island Community District 2,SI 02,502,74.5,3
Staten Island Community District 3,SI 03,503,76.5,2
