Community District Number,CD Code,BoroCD,Percent of total garbage collected,Ranking
Bronx Community District 1,BX 01,201,7.5848,59
Bronx Community District 2,BX 02,202,13.2585,51
Bronx Community District 3,BX 03,203,9.7898,57
Bronx Community District 4,BX 04,204,13.3147,50
Bronx Community District 5,BX 05,205,13.5651,49
Bronx Community District 6,BX 06,206,15.1357,38
Bronx Community District 7,BX 07,207,15.9384,34
Bronx Community District 8,BX 08,208,20.4333,16
Bronx Community District 9,BX 09,209,10.8612,54
Bronx Community District 10,BX 10,210,17.3265,27
Bronx Community District 11,BX 11,211,15.2237,37
Bronx Community District 12,BX 12,212,16.3687,30
Brooklyn Community District 1,BK 01,301,15.1013,39
Brooklyn Community District 2,BK 02,302,19.7651,19
Brooklyn Community District 3,BK 03,303,13.0851,52
Brooklyn Community District 4,BK 04,304,14.6708,42
Brooklyn Community District 5,BK 05,305,10.7139,55
Brooklyn Community District 6,BK 06,306,27.9082,1
Brooklyn Community District 7,BK 07,307,20.0049,17
Brooklyn Community District 8,BK 08,308,18.2194,24
Brooklyn Community District 9,BK 09,309,13.6535,45
Brooklyn Community District 10,BK 10,310,20.7752,13
Brooklyn Community District 11,BK 11,311,16.7141,28
Brooklyn Community District 12,BK 12,312,13.6157,46
Brooklyn Community District 13,BK 13,313,14.2814,43
Brooklyn Community District 14,BK 14,314,14.6875,41
Brooklyn Community District 15,BK 15,315,17.6991,25
Brooklyn Community District 16,BK 16,316,8.3993,58
Brooklyn Community District 17,BK 17,317,13.6096,48
Brooklyn Community District 18,BK 18,318,15.4616,35
Manhattan Community District 1,MN 01,101,26.1443,3
Manhattan Community District 2,MN 02,102,25.0126,5
Manhattan Community District 3,MN 03,103,13.6131,47
Manhattan Community District 4,MN 04,104,21.3612,10
Manhattan Community District 5,MN 05,105,20.735,14
Manhattan Community District 6,MN 06,106,21.6435,9
Manhattan Community District 7,MN 07,107,26.7317,2
Manhattan Community District 8,MN 08,108,25.1216,4
Manhattan Community District 9,MN 09,109,16.4707,29
Manhattan Community District 10,MN 10,110,14.0386,44
Manhattan Community District 11,MN 11,111,10.288,56
Manhattan Community District 12,MN 12,112,15.4577,36
Queens Community District 1,QN 01,401,20.5054,15
Queens Community District 2,QN 02,402,23.8593,6
Queens Community District 3,QN 03,403,15.0582,40
Queens Community District 4,QN 04,404,16.1474,31
Queens Community District 5,QN 05,405,22.5123,8
Queens Community District 6,QN 06,406,21.2222,11
Queens Community District 7,QN 07,407,18.9352,21
Queens Community District 8,QN 08,408,15.9478,33
Queens Community District 9,QN 09,409,21.2105,12
Queens Community District 10,QN 10,410,18.7151,22
Queens Community District 11,QN 11,411,23.7714,7
Queens Community District 12,QN 12,412,16.0743,32
Queens Community District 13,QN 13,413,19.0268,20
Queens Community District 14,QN 14,414,12.4757,53
Staten Island Community District 1,SI 01,501,17.5201,26
Staten Island Community District 2,SI 02,502,18.3148,23
Staten Island Community District 3,SI 03,503,19.8435,18
