Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,11.6,55
Bronx Community District 2,BX 02,202,12.6,51
Bronx Community District 3,BX 03,203,9.8,58
Bronx Community District 4,BX 04,204,10.5,57
Bronx Community District 5,BX 05,205,17.3,44
Bronx Community District 6,BX 06,206,9.2,59
Bronx Community District 7,BX 07,207,11.8,54
Bronx Community District 8,BX 08,208,37.5,12
Bronx Community District 9,BX 09,209,18.7,42
Bronx Community District 10,BX 10,210,54.5,4
Bronx Community District 11,BX 11,211,29.8,25
Bronx Community District 12,BX 12,212,30.1,24
Brooklyn Community District 1,BK 01,301,11.5,56
Brooklyn Community District 2,BK 02,302,19.8,41
Brooklyn Community District 3,BK 03,303,16.3,47
Brooklyn Community District 4,BK 04,304,16,48
Brooklyn Community District 5,BK 05,305,23.4,36
Brooklyn Community District 6,BK 06,306,30.6,22
Brooklyn Community District 7,BK 07,307,23.2,37
Brooklyn Community District 8,BK 08,308,20.2,40
Brooklyn Community District 9,BK 09,309,27.7,30
Brooklyn Community District 10,BK 10,310,36.1,15
Brooklyn Community District 11,BK 11,311,37,14
Brooklyn Community District 12,BK 12,312,25.5,34
Brooklyn Community District 13,BK 13,313,29.8,25
Brooklyn Community District 14,BK 14,314,38.2,11
Brooklyn Community District 15,BK 15,315,37.1,13
Brooklyn Community District 16,BK 16,316,17.2,45
Brooklyn Community District 17,BK 17,317,20.8,39
Brooklyn Community District 18,BK 18,318,40,8
Manhattan Community District 1,MN 01,101,30.4,23
Manhattan Community District 2,MN 02,102,27.5,31
Manhattan Community District 3,MN 03,103,17.6,43
Manhattan Community District 4,MN 04,104,27.5,31
Manhattan Community District 5,MN 05,105,28.9,29
Manhattan Community District 6,MN 06,106,36,16
Manhattan Community District 7,MN 07,107,12.6,51
Manhattan Community District 8,MN 08,108,31.3,21
Manhattan Community District 9,MN 09,109,17,46
Manhattan Community District 10,MN 10,110,15.3,49
Manhattan Community District 11,MN 11,111,13.9,50
Manhattan Community District 12,MN 12,112,11.9,53
Queens Community District 1,QN 01,401,29.2,27
Queens Community District 2,QN 02,402,27.1,33
Queens Community District 3,QN 03,403,22.4,38
Queens Community District 4,QN 04,404,23.6,35
Queens Community District 5,QN 05,405,35.1,17
Queens Community District 6,QN 06,406,45.8,7
Queens Community District 7,QN 07,407,39.5,9
Queens Community District 8,QN 08,408,33.7,19
Queens Community District 9,QN 09,409,34.4,18
Queens Community District 10,QN 10,410,39,10
Queens Community District 11,QN 11,411,55.9,3
Queens Community District 12,QN 12,412,29.1,28
Queens Community District 13,QN 13,413,61.1,1
Queens Community District 14,QN 14,414,31.8,20
Staten Island Community District 1,SI 01,501,47.4,6
Staten Island Community District 2,SI 02,502,51.4,5
Staten Island Community District 3,SI 03,503,60.3,2
