Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,9.8,59
Bronx Community District 2,BX 02,202,18.5,52
Bronx Community District 3,BX 03,203,16.3,56
Bronx Community District 4,BX 04,204,13.3,57
Bronx Community District 5,BX 05,205,21.3,48
Bronx Community District 6,BX 06,206,17.9,54
Bronx Community District 7,BX 07,207,17.5,55
Bronx Community District 8,BX 08,208,46.8,16
Bronx Community District 9,BX 09,209,31.3,30
Bronx Community District 10,BX 10,210,53,6
Bronx Community District 11,BX 11,211,32.7,27
Bronx Community District 12,BX 12,212,35.6,24
Brooklyn Community District 1,BK 01,301,28.4,35
Brooklyn Community District 2,BK 02,302,51.4,7
Brooklyn Community District 3,BK 03,303,23.4,44
Brooklyn Community District 4,BK 04,304,18.9,51
Brooklyn Community District 5,BK 05,305,24.8,41
Brooklyn Community District 6,BK 06,306,56.3,2
Brooklyn Community District 7,BK 07,307,29.9,32
Brooklyn Community District 8,BK 08,308,30.3,31
Brooklyn Community District 9,BK 09,309,32,28
Brooklyn Community District 10,BK 10,310,47.2,15
Brooklyn Community District 11,BK 11,311,25,39
Brooklyn Community District 12,BK 12,312,25.4,38
Brooklyn Community District 13,BK 13,313,26.1,37
Brooklyn Community District 14,BK 14,314,31.7,29
Brooklyn Community District 15,BK 15,315,29.5,34
Brooklyn Community District 16,BK 16,316,19.8,49
Brooklyn Community District 17,BK 17,317,19.7,50
Brooklyn Community District 18,BK 18,318,41.9,19
Manhattan Community District 1,MN 01,101,41.1,20
Manhattan Community District 2,MN 02,102,40.5,21
Manhattan Community District 3,MN 03,103,22.3,46
Manhattan Community District 4,MN 04,104,29.7,33
Manhattan Community District 5,MN 05,105,24,42
Manhattan Community District 6,MN 06,106,51,9
Manhattan Community District 7,MN 07,107,37,23
Manhattan Community District 8,MN 08,108,55,4
Manhattan Community District 9,MN 09,109,21.6,47
Manhattan Community District 10,MN 10,110,18,53
Manhattan Community District 11,MN 11,111,11.4,58
Manhattan Community District 12,MN 12,112,22.7,45
Queens Community District 1,QN 01,401,35.6,24
Queens Community District 2,QN 02,402,48.7,13
Queens Community District 3,QN 03,403,25,39
Queens Community District 4,QN 04,404,24,42
Queens Community District 5,QN 05,405,50,11
Queens Community District 6,QN 06,406,51.4,7
Queens Community District 7,QN 07,407,39,22
Queens Community District 8,QN 08,408,44.9,17
Queens Community District 9,QN 09,409,33,26
Queens Community District 10,QN 10,410,49,12
Queens Community District 11,QN 11,411,53.8,5
Queens Community District 12,QN 12,412,28,36
Queens Community District 13,QN 13,413,50.5,10
Queens Community District 14,QN 14,414,42.9,18
Staten Island Community District 1,SI 01,501,47.9,14
Staten Island Community District 2,SI 02,502,55.7,3
Staten Island Community District 3,SI 03,503,64.1,1
