Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,38,59
Bronx Community District 2,BX 02,202,53,52
Bronx Community District 3,BX 03,203,47.9,58
Bronx Community District 4,BX 04,204,49.9,56
Bronx Community District 5,BX 05,205,49.3,57
Bronx Community District 6,BX 06,206,52.5,53
Bronx Community District 7,BX 07,207,56.8,50
Bronx Community District 8,BX 08,208,81,6
Bronx Community District 9,BX 09,209,69.1,29
Bronx Community District 10,BX 10,210,85.5,2
Bronx Community District 11,BX 11,211,67.4,33
Bronx Community District 12,BX 12,212,66.9,34
Brooklyn Community District 1,BK 01,301,62.1,42
Brooklyn Community District 2,BK 02,302,74.4,18
Brooklyn Community District 3,BK 03,303,63.1,40
Brooklyn Community District 4,BK 04,304,64.7,38
Brooklyn Community District 5,BK 05,305,61.7,43
Brooklyn Community District 6,BK 06,306,70,27
Brooklyn Community District 7,BK 07,307,76.1,14
Brooklyn Community District 8,BK 08,308,63.6,39
Brooklyn Community District 9,BK 09,309,62.2,41
Brooklyn Community District 10,BK 10,310,77.2,11
Brooklyn Community District 11,BK 11,311,71.5,22
Brooklyn Community District 12,BK 12,312,68.1,31
Brooklyn Community District 13,BK 13,313,60,47
Brooklyn Community District 14,BK 14,314,71.5,22
Brooklyn Community District 15,BK 15,315,70.5,26
Brooklyn Community District 16,BK 16,316,52.2,54
Brooklyn Community District 17,BK 17,317,60.7,45
Brooklyn Community District 18,BK 18,318,72.6,20
Manhattan Community District 1,MN 01,101,68.1,31
Manhattan Community District 2,MN 02,102,68.8,30
Manhattan Community District 3,MN 03,103,57.7,49
Manhattan Community District 4,MN 04,104,66.6,36
Manhattan Community District 5,MN 05,105,61.5,44
Manhattan Community District 6,MN 06,106,76.1,14
Manhattan Community District 7,MN 07,107,75.4,16
Manhattan Community District 8,MN 08,108,78.7,8
Manhattan Community District 9,MN 09,109,58.4,48
Manhattan Community District 10,MN 10,110,54.9,51
Manhattan Community District 11,MN 11,111,50.6,55
Manhattan Community District 12,MN 12,112,60.3,46
Queens Community District 1,QN 01,401,71.4,25
Queens Community District 2,QN 02,402,71.6,21
Queens Community District 3,QN 03,403,69.7,28
Queens Community District 4,QN 04,404,66.2,37
Queens Community District 5,QN 05,405,81.7,5
Queens Community District 6,QN 06,406,75.3,17
Queens Community District 7,QN 07,407,76.7,12
Queens Community District 8,QN 08,408,77.4,10
Queens Community District 9,QN 09,409,66.8,35
Queens Community District 10,QN 10,410,76.6,13
Queens Community District 11,QN 11,411,86.5,1
Queens Community District 12,QN 12,412,72.8,19
Queens Community District 13,QN 13,413,82.1,4
Queens Community District 14,QN 14,414,71.5,22
Staten Island Community District 1,SI 01,501,80.2,7
Staten Island Community District 2,SI 02,502,78.1,9
Staten Island Community District 3,SI 03,503,84.4,3
