Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,24.6,58
Bronx Community District 2,BX 02,202,28.4,52
Bronx Community District 3,BX 03,203,24.9,57
Bronx Community District 4,BX 04,204,27.8,54
Bronx Community District 5,BX 05,205,27.6,55
Bronx Community District 6,BX 06,206,32.5,48
Bronx Community District 7,BX 07,207,32.7,47
Bronx Community District 8,BX 08,208,66.9,5
Bronx Community District 9,BX 09,209,40.3,38
Bronx Community District 10,BX 10,210,66.9,5
Bronx Community District 11,BX 11,211,43.4,33
Bronx Community District 12,BX 12,212,46.7,28
Brooklyn Community District 1,BK 01,301,45.5,30
Brooklyn Community District 2,BK 02,302,60.3,14
Brooklyn Community District 3,BK 03,303,29,51
Brooklyn Community District 4,BK 04,304,21.8,59
Brooklyn Community District 5,BK 05,305,30.6,49
Brooklyn Community District 6,BK 06,306,67.9,4
Brooklyn Community District 7,BK 07,307,51.2,22
Brooklyn Community District 8,BK 08,308,43.8,32
Brooklyn Community District 9,BK 09,309,34.7,44
Brooklyn Community District 10,BK 10,310,65.7,8
Brooklyn Community District 11,BK 11,311,48.9,26
Brooklyn Community District 12,BK 12,312,41.1,36
Brooklyn Community District 13,BK 13,313,37.5,41
Brooklyn Community District 14,BK 14,314,39.3,39
Brooklyn Community District 15,BK 15,315,43.9,31
Brooklyn Community District 16,BK 16,316,30.4,50
Brooklyn Community District 17,BK 17,317,35.3,43
Brooklyn Community District 18,BK 18,318,54.8,19
Manhattan Community District 1,MN 01,101,69.2,2
Manhattan Community District 2,MN 02,102,59.8,15
Manhattan Community District 3,MN 03,103,25.7,56
Manhattan Community District 4,MN 04,104,47.2,27
Manhattan Community District 5,MN 05,105,51.1,24
Manhattan Community District 6,MN 06,106,56.8,18
Manhattan Community District 7,MN 07,107,68.4,3
Manhattan Community District 8,MN 08,108,66.7,7
Manhattan Community District 9,MN 09,109,42.4,35
Manhattan Community District 10,MN 10,110,33.5,46
Manhattan Community District 11,MN 11,111,28.4,52
Manhattan Community District 12,MN 12,112,38.9,40
Queens Community District 1,QN 01,401,51.2,22
Queens Community District 2,QN 02,402,60.5,13
Queens Community District 3,QN 03,403,40.9,37
Queens Community District 4,QN 04,404,35.4,42
Queens Community District 5,QN 05,405,50,25
Queens Community District 6,QN 06,406,65.2,9
Queens Community District 7,QN 07,407,59.1,17
Queens Community District 8,QN 08,408,61.4,12
Queens Community District 9,QN 09,409,46.3,29
Queens Community District 10,QN 10,410,53.4,21
Queens Community District 11,QN 11,411,77.4,1
Queens Community District 12,QN 12,412,34.5,45
Queens Community District 13,QN 13,413,59.6,16
Queens Community District 14,QN 14,414,42.8,34
Staten Island Community District 1,SI 01,501,53.7,20
Staten Island Community District 2,SI 02,502,62.4,11
Staten Island Community District 3,SI 03,503,65,10
