Community District Number,CD Code,BoroCD,"Percent of total garbage collected",Ranking
Bronx Community District 1,BX 01,201,7.3,59
Bronx Community District 2,BX 02,202,13.8,50
Bronx Community District 3,BX 03,203,11,55
Bronx Community District 4,BX 04,204,13.5,51
Bronx Community District 5,BX 05,205,12.2,53
Bronx Community District 6,BX 06,206,14.8,45
Bronx Community District 7,BX 07,207,15.9,40
Bronx Community District 8,BX 08,208,22.2,14
Bronx Community District 9,BX 09,209,10.8,56
Bronx Community District 10,BX 10,210,21.2,17
Bronx Community District 11,BX 11,211,17.1,32
Bronx Community District 12,BX 12,212,20.3,24
Brooklyn Community District 1,BK 01,301,16.8,35
Brooklyn Community District 2,BK 02,302,20.4,22
Brooklyn Community District 3,BK 03,303,13.5,51
Brooklyn Community District 4,BK 04,304,16.9,33
Brooklyn Community District 5,BK 05,305,10.5,57
Brooklyn Community District 6,BK 06,306,29.3,1
Brooklyn Community District 7,BK 07,307,22,16
Brooklyn Community District 8,BK 08,308,17.4,31
Brooklyn Community District 9,BK 09,309,14,49
Brooklyn Community District 10,BK 10,310,23.3,10
Brooklyn Community District 11,BK 11,311,19.1,27
Brooklyn Community District 12,BK 12,312,16.2,36
Brooklyn Community District 13,BK 13,313,14.9,44
Brooklyn Community District 14,BK 14,314,16,37
Brooklyn Community District 15,BK 15,315,18.9,28
Brooklyn Community District 16,BK 16,316,9.9,58
Brooklyn Community District 17,BK 17,317,14.3,47
Brooklyn Community District 18,BK 18,318,16,37
Manhattan Community District 1,MN 01,101,28.6,2
Manhattan Community District 2,MN 02,102,27.6,4
Manhattan Community District 3,MN 03,103,14.3,47
Manhattan Community District 4,MN 04,104,24.1,9
Manhattan Community District 5,MN 05,105,22.6,12
Manhattan Community District 6,MN 06,106,24.4,7
Manhattan Community District 7,MN 07,107,28.1,3
Manhattan Community District 8,MN 08,108,27.5,5
Manhattan Community District 9,MN 09,109,18.6,29
Manhattan Community District 10,MN 10,110,15.7,41
Manhattan Community District 11,MN 11,111,11.3,54
Manhattan Community District 12,MN 12,112,16.9,33
Queens Community District 1,QN 01,401,21.1,19
Queens Community District 2,QN 02,402,23.3,10
Queens Community District 3,QN 03,403,15.1,43
Queens Community District 4,QN 04,404,16,37
Queens Community District 5,QN 05,405,24.3,8
Queens Community District 6,QN 06,406,22.2,14
Queens Community District 7,QN 07,407,20.5,21
Queens Community District 8,QN 08,408,17.5,30
Queens Community District 9,QN 09,409,22.5,13
Queens Community District 10,QN 10,410,19.6,26
Queens Community District 11,QN 11,411,25.7,6
Queens Community District 12,QN 12,412,15.2,42
Queens Community District 13,QN 13,413,21,20
Queens Community District 14,QN 14,414,14.4,46
Staten Island Community District 1,SI 01,501,20.4,22
Staten Island Community District 2,SI 02,502,19.9,25
Staten Island Community District 3,SI 03,503,21.2,17
