Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,932,30
Bronx Community District 2,BX 02,202,353,59
Bronx Community District 3,BX 03,203,710,46
Bronx Community District 4,BX 04,204,942,28
Bronx Community District 5,BX 05,205,658,47
Bronx Community District 6,BX 06,206,490,55
Bronx Community District 7,BX 07,207,1021,22
Bronx Community District 8,BX 08,208,1328,12
Bronx Community District 9,BX 09,209,771,42
Bronx Community District 10,BX 10,210,622,48
Bronx Community District 11,BX 11,211,597,50
Bronx Community District 12,BX 12,212,1109,17
Brooklyn Community District 1,BK 01,301,2340,1
Brooklyn Community District 2,BK 02,302,1069,19
Brooklyn Community District 3,BK 03,303,1664,6
Brooklyn Community District 4,BK 04,304,1421,9
Brooklyn Community District 5,BK 05,305,1395,11
Brooklyn Community District 6,BK 06,306,1011,24
Brooklyn Community District 7,BK 07,307,1159,16
Brooklyn Community District 8,BK 08,308,949,27
Brooklyn Community District 9,BK 09,309,1060,20
Brooklyn Community District 10,BK 10,310,753,44
Brooklyn Community District 11,BK 11,311,845,37
Brooklyn Community District 12,BK 12,312,815,40
Brooklyn Community District 13,BK 13,313,565,51
Brooklyn Community District 14,BK 14,314,1235,14
Brooklyn Community District 15,BK 15,315,1271,13
Brooklyn Community District 16,BK 16,316,507,54
Brooklyn Community District 17,BK 17,317,895,35
Brooklyn Community District 18,BK 18,318,908,33
Manhattan Community District 1,MN 01,101,367,58
Manhattan Community District 2,MN 02,102,1470,8
Manhattan Community District 3,MN 03,103,922,32
Manhattan Community District 4,MN 04,104,1701,4
Manhattan Community District 5,MN 05,105,748,45
Manhattan Community District 6,MN 06,106,759,43
Manhattan Community District 7,MN 07,107,937,29
Manhattan Community District 8,MN 08,108,827,39
Manhattan Community District 9,MN 09,109,803,41
Manhattan Community District 10,MN 10,110,1681,5
Manhattan Community District 11,MN 11,111,1088,18
Manhattan Community District 12,MN 12,112,1165,15
Queens Community District 1,QN 01,401,1872,2
Queens Community District 2,QN 02,402,905,34
Queens Community District 3,QN 03,403,950,26
Queens Community District 4,QN 04,404,531,53
Queens Community District 5,QN 05,405,1412,10
Queens Community District 6,QN 06,406,612,49
Queens Community District 7,QN 07,407,931,31
Queens Community District 8,QN 08,408,558,52
Queens Community District 9,QN 09,409,834,38
Queens Community District 10,QN 10,410,883,36
Queens Community District 11,QN 11,411,428,57
Queens Community District 12,QN 12,412,1795,3
Queens Community District 13,QN 13,413,968,25
Queens Community District 14,QN 14,414,468,56
Staten Island Community District 1,SI 01,501,1037,21
Staten Island Community District 2,SI 02,502,1012,23
Staten Island Community District 3,SI 03,503,1493,7
