Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,512,44
Bronx Community District 2,BX 02,202,176,59
Bronx Community District 3,BX 03,203,433,48
Bronx Community District 4,BX 04,204,545,40
Bronx Community District 5,BX 05,205,291,57
Bronx Community District 6,BX 06,206,342,54
Bronx Community District 7,BX 07,207,891,12
Bronx Community District 8,BX 08,208,732,24
Bronx Community District 9,BX 09,209,435,47
Bronx Community District 10,BX 10,210,559,39
Bronx Community District 11,BX 11,211,483,46
Bronx Community District 12,BX 12,212,855,16
Brooklyn Community District 1,BK 01,301,1554,3
Brooklyn Community District 2,BK 02,302,708,26
Brooklyn Community District 3,BK 03,303,1335,4
Brooklyn Community District 4,BK 04,304,1155,6
Brooklyn Community District 5,BK 05,305,1007,7
Brooklyn Community District 6,BK 06,306,671,29
Brooklyn Community District 7,BK 07,307,625,31
Brooklyn Community District 8,BK 08,308,765,21
Brooklyn Community District 9,BK 09,309,514,43
Brooklyn Community District 10,BK 10,310,512,44
Brooklyn Community District 11,BK 11,311,616,33
Brooklyn Community District 12,BK 12,312,787,20
Brooklyn Community District 13,BK 13,313,387,50
Brooklyn Community District 14,BK 14,314,857,14
Brooklyn Community District 15,BK 15,315,826,18
Brooklyn Community District 16,BK 16,316,310,56
Brooklyn Community District 17,BK 17,317,587,35
Brooklyn Community District 18,BK 18,318,622,32
Manhattan Community District 1,MN 01,101,289,58
Manhattan Community District 2,MN 02,102,873,13
Manhattan Community District 3,MN 03,103,819,19
Manhattan Community District 4,MN 04,104,1002,8
Manhattan Community District 5,MN 05,105,519,41
Manhattan Community District 6,MN 06,106,570,36
Manhattan Community District 7,MN 07,107,857,14
Manhattan Community District 8,MN 08,108,686,27
Manhattan Community District 9,MN 09,109,350,52
Manhattan Community District 10,MN 10,110,1771,2
Manhattan Community District 11,MN 11,111,640,30
Manhattan Community District 12,MN 12,112,570,36
Queens Community District 1,QN 01,401,896,11
Queens Community District 2,QN 02,402,608,34
Queens Community District 3,QN 03,403,561,38
Queens Community District 4,QN 04,404,349,53
Queens Community District 5,QN 05,405,840,17
Queens Community District 6,QN 06,406,418,49
Queens Community District 7,QN 07,407,757,22
Queens Community District 8,QN 08,408,516,42
Queens Community District 9,QN 09,409,718,25
Queens Community District 10,QN 10,410,686,27
Queens Community District 11,QN 11,411,352,51
Queens Community District 12,QN 12,412,1278,5
Queens Community District 13,QN 13,413,739,23
Queens Community District 14,QN 14,414,329,55
Staten Island Community District 1,SI 01,501,936,9
Staten Island Community District 2,SI 02,502,930,10
Staten Island Community District 3,SI 03,503,2100,1
