Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,476,44
Bronx Community District 2,BX 02,202,335,54
Bronx Community District 3,BX 03,203,408,50
Bronx Community District 4,BX 04,204,807,26
Bronx Community District 5,BX 05,205,1828,8
Bronx Community District 6,BX 06,206,1550,11
Bronx Community District 7,BX 07,207,618,32
Bronx Community District 8,BX 08,208,416,49
Bronx Community District 9,BX 09,209,1413,13
Bronx Community District 10,BX 10,210,598,36
Bronx Community District 11,BX 11,211,542,42
Bronx Community District 12,BX 12,212,1464,12
Brooklyn Community District 1,BK 01,301,4489,1
Brooklyn Community District 2,BK 02,302,1116,19
Brooklyn Community District 3,BK 03,303,1881,7
Brooklyn Community District 4,BK 04,304,2272,4
Brooklyn Community District 5,BK 05,305,1047,21
Brooklyn Community District 6,BK 06,306,1252,14
Brooklyn Community District 7,BK 07,307,818,25
Brooklyn Community District 8,BK 08,308,1056,20
Brooklyn Community District 9,BK 09,309,871,24
Brooklyn Community District 10,BK 10,310,802,27
Brooklyn Community District 11,BK 11,311,670,31
Brooklyn Community District 12,BK 12,312,267,55
Brooklyn Community District 13,BK 13,313,126,58
Brooklyn Community District 14,BK 14,314,419,48
Brooklyn Community District 15,BK 15,315,493,43
Brooklyn Community District 16,BK 16,316,252,56
Brooklyn Community District 17,BK 17,317,610,34
Brooklyn Community District 18,BK 18,318,572,41
Manhattan Community District 1,MN 01,101,604,35
Manhattan Community District 2,MN 02,102,2229,5
Manhattan Community District 3,MN 03,103,4333,2
Manhattan Community District 4,MN 04,104,1782,9
Manhattan Community District 5,MN 05,105,1127,18
Manhattan Community District 6,MN 06,106,769,29
Manhattan Community District 7,MN 07,107,1151,17
Manhattan Community District 8,MN 08,108,1235,15
Manhattan Community District 9,MN 09,109,906,23
Manhattan Community District 10,MN 10,110,1729,10
Manhattan Community District 11,MN 11,111,615,33
Manhattan Community District 12,MN 12,112,2029,6
Queens Community District 1,QN 01,401,4303,3
Queens Community District 2,QN 02,402,698,30
Queens Community District 3,QN 03,403,916,22
Queens Community District 4,QN 04,404,593,37
Queens Community District 5,QN 05,405,1207,16
Queens Community District 6,QN 06,406,458,46
Queens Community District 7,QN 07,407,575,40
Queens Community District 8,QN 08,408,70,59
Queens Community District 9,QN 09,409,420,47
Queens Community District 10,QN 10,410,467,45
Queens Community District 11,QN 11,411,797,28
Queens Community District 12,QN 12,412,585,39
Queens Community District 13,QN 13,413,342,53
Queens Community District 14,QN 14,414,343,52
Staten Island Community District 1,SI 01,501,593,37
Staten Island Community District 2,SI 02,502,171,57
Staten Island Community District 3,SI 03,503,388,51
