Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,84,35
Bronx Community District 2,BX 02,202,34,51
Bronx Community District 3,BX 03,203,117,26
Bronx Community District 4,BX 04,204,86,33
Bronx Community District 5,BX 05,205,55,42
Bronx Community District 6,BX 06,206,137,20
Bronx Community District 7,BX 07,207,185,11
Bronx Community District 8,BX 08,208,164,14
Bronx Community District 9,BX 09,209,155,16
Bronx Community District 10,BX 10,210,147,17
Bronx Community District 11,BX 11,211,33,52
Bronx Community District 12,BX 12,212,56,41
Brooklyn Community District 1,BK 01,301,237,5
Brooklyn Community District 2,BK 02,302,127,22
Brooklyn Community District 3,BK 03,303,278,2
Brooklyn Community District 4,BK 04,304,57,40
Brooklyn Community District 5,BK 05,305,128,21
Brooklyn Community District 6,BK 06,306,52,46
Brooklyn Community District 7,BK 07,307,269,4
Brooklyn Community District 8,BK 08,308,53,45
Brooklyn Community District 9,BK 09,309,55,42
Brooklyn Community District 10,BK 10,310,157,15
Brooklyn Community District 11,BK 11,311,27,55
Brooklyn Community District 12,BK 12,312,54,44
Brooklyn Community District 13,BK 13,313,91,32
Brooklyn Community District 14,BK 14,314,36,50
Brooklyn Community District 15,BK 15,315,58,39
Brooklyn Community District 16,BK 16,316,126,23
Brooklyn Community District 17,BK 17,317,19,56
Brooklyn Community District 18,BK 18,318,114,27
Manhattan Community District 1,MN 01,101,49,48
Manhattan Community District 2,MN 02,102,145,18
Manhattan Community District 3,MN 03,103,270,3
Manhattan Community District 4,MN 04,104,32,54
Manhattan Community District 5,MN 05,105,233,6
Manhattan Community District 6,MN 06,106,41,49
Manhattan Community District 7,MN 07,107,187,10
Manhattan Community District 8,MN 08,108,51,47
Manhattan Community District 9,MN 09,109,119,25
Manhattan Community District 10,MN 10,110,226,7
Manhattan Community District 11,MN 11,111,196,9
Manhattan Community District 12,MN 12,112,425,1
Queens Community District 1,QN 01,401,180,12
Queens Community District 2,QN 02,402,141,19
Queens Community District 3,QN 03,403,219,8
Queens Community District 4,QN 04,404,110,28
Queens Community District 5,QN 05,405,121,24
Queens Community District 6,QN 06,406,81,36
Queens Community District 7,QN 07,407,175,13
Queens Community District 8,QN 08,408,85,34
Queens Community District 9,QN 09,409,16,57
Queens Community District 10,QN 10,410,110,28
Queens Community District 11,QN 11,411,33,52
Queens Community District 12,QN 12,412,77,37
Queens Community District 13,QN 13,413,98,31
Queens Community District 14,QN 14,414,102,30
Staten Island Community District 1,SI 01,501,64,38
Staten Island Community District 2,SI 02,502,12,59
Staten Island Community District 3,SI 03,503,16,57
