Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,641,40
Bronx Community District 2,BX 02,202,314,52
Bronx Community District 3,BX 03,203,434,49
Bronx Community District 4,BX 04,204,875,29
Bronx Community District 5,BX 05,205,1038,21
Bronx Community District 6,BX 06,206,1153,17
Bronx Community District 7,BX 07,207,473,48
Bronx Community District 8,BX 08,208,260,57
Bronx Community District 9,BX 09,209,600,44
Bronx Community District 10,BX 10,210,803,31
Bronx Community District 11,BX 11,211,486,47
Bronx Community District 12,BX 12,212,1112,19
Brooklyn Community District 1,BK 01,301,5358,1
Brooklyn Community District 2,BK 02,302,1156,16
Brooklyn Community District 3,BK 03,303,1861,10
Brooklyn Community District 4,BK 04,304,2873,5
Brooklyn Community District 5,BK 05,305,1203,14
Brooklyn Community District 6,BK 06,306,1059,20
Brooklyn Community District 7,BK 07,307,1196,15
Brooklyn Community District 8,BK 08,308,1122,18
Brooklyn Community District 9,BK 09,309,948,25
Brooklyn Community District 10,BK 10,310,633,41
Brooklyn Community District 11,BK 11,311,573,45
Brooklyn Community District 12,BK 12,312,374,50
Brooklyn Community District 13,BK 13,313,264,56
Brooklyn Community District 14,BK 14,314,789,32
Brooklyn Community District 15,BK 15,315,837,30
Brooklyn Community District 16,BK 16,316,285,54
Brooklyn Community District 17,BK 17,317,775,33
Brooklyn Community District 18,BK 18,318,605,43
Manhattan Community District 1,MN 01,101,962,24
Manhattan Community District 2,MN 02,102,2669,6
Manhattan Community District 3,MN 03,103,4428,2
Manhattan Community District 4,MN 04,104,1895,9
Manhattan Community District 5,MN 05,105,1251,13
Manhattan Community District 6,MN 06,106,630,42
Manhattan Community District 7,MN 07,107,912,26
Manhattan Community District 8,MN 08,108,986,23
Manhattan Community District 9,MN 09,109,1691,11
Manhattan Community District 10,MN 10,110,2195,8
Manhattan Community District 11,MN 11,111,697,38
Manhattan Community District 12,MN 12,112,2947,4
Queens Community District 1,QN 01,401,4079,3
Queens Community District 2,QN 02,402,1018,22
Queens Community District 3,QN 03,403,886,27
Queens Community District 4,QN 04,404,2240,7
Queens Community District 5,QN 05,405,1625,12
Queens Community District 6,QN 06,406,736,36
Queens Community District 7,QN 07,407,706,37
Queens Community District 8,QN 08,408,120,59
Queens Community District 9,QN 09,409,488,46
Queens Community District 10,QN 10,410,656,39
Queens Community District 11,QN 11,411,769,34
Queens Community District 12,QN 12,412,765,35
Queens Community District 13,QN 13,413,268,55
Queens Community District 14,QN 14,414,335,51
Staten Island Community District 1,SI 01,501,878,28
Staten Island Community District 2,SI 02,502,221,58
Staten Island Community District 3,SI 03,503,313,53
