Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,37,47
Bronx Community District 2,BX 02,202,42,45
Bronx Community District 3,BX 03,203,91,32
Bronx Community District 4,BX 04,204,95,29
Bronx Community District 5,BX 05,205,12,58
Bronx Community District 6,BX 06,206,63,39
Bronx Community District 7,BX 07,207,176,13
Bronx Community District 8,BX 08,208,142,20
Bronx Community District 9,BX 09,209,196,8
Bronx Community District 10,BX 10,210,104,25
Bronx Community District 11,BX 11,211,100,26
Bronx Community District 12,BX 12,212,70,37
Brooklyn Community District 1,BK 01,301,205,7
Brooklyn Community District 2,BK 02,302,195,9
Brooklyn Community District 3,BK 03,303,159,18
Brooklyn Community District 4,BK 04,304,226,5
Brooklyn Community District 5,BK 05,305,76,35
Brooklyn Community District 6,BK 06,306,37,47
Brooklyn Community District 7,BK 07,307,181,11
Brooklyn Community District 8,BK 08,308,69,38
Brooklyn Community District 9,BK 09,309,27,52
Brooklyn Community District 10,BK 10,310,180,12
Brooklyn Community District 11,BK 11,311,27,52
Brooklyn Community District 12,BK 12,312,73,36
Brooklyn Community District 13,BK 13,313,53,43
Brooklyn Community District 14,BK 14,314,34,50
Brooklyn Community District 15,BK 15,315,306,1
Brooklyn Community District 16,BK 16,316,41,46
Brooklyn Community District 17,BK 17,317,16,56
Brooklyn Community District 18,BK 18,318,84,34
Manhattan Community District 1,MN 01,101,30,51
Manhattan Community District 2,MN 02,102,297,2
Manhattan Community District 3,MN 03,103,194,10
Manhattan Community District 4,MN 04,104,52,44
Manhattan Community District 5,MN 05,105,173,14
Manhattan Community District 6,MN 06,106,21,55
Manhattan Community District 7,MN 07,107,168,16
Manhattan Community District 8,MN 08,108,14,57
Manhattan Community District 9,MN 09,109,97,28
Manhattan Community District 10,MN 10,110,100,26
Manhattan Community District 11,MN 11,111,155,19
Manhattan Community District 12,MN 12,112,296,3
Queens Community District 1,QN 01,401,142,20
Queens Community District 2,QN 02,402,173,14
Queens Community District 3,QN 03,403,166,17
Queens Community District 4,QN 04,404,61,40
Queens Community District 5,QN 05,405,138,22
Queens Community District 6,QN 06,406,94,31
Queens Community District 7,QN 07,407,251,4
Queens Community District 8,QN 08,408,211,6
Queens Community District 9,QN 09,409,11,59
Queens Community District 10,QN 10,410,110,24
Queens Community District 11,QN 11,411,36,49
Queens Community District 12,QN 12,412,120,23
Queens Community District 13,QN 13,413,95,29
Queens Community District 14,QN 14,414,88,33
Staten Island Community District 1,SI 01,501,56,42
Staten Island Community District 2,SI 02,502,58,41
Staten Island Community District 3,SI 03,503,26,54
