Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,6738,14
Bronx Community District 2,BX 02,202,2293,51
Bronx Community District 3,BX 03,203,5633,20
Bronx Community District 4,BX 04,204,7274,10
Bronx Community District 5,BX 05,205,7652,8
Bronx Community District 6,BX 06,206,5178,25
Bronx Community District 7,BX 07,207,9428,4
Bronx Community District 8,BX 08,208,4635,30
Bronx Community District 9,BX 09,209,7052,12
Bronx Community District 10,BX 10,210,3333,44
Bronx Community District 11,BX 11,211,5148,26
Bronx Community District 12,BX 12,212,97178,1
Brooklyn Community District 1,BK 01,301,7014,13
Brooklyn Community District 2,BK 02,302,5203,24
Brooklyn Community District 3,BK 03,303,8524,6
Brooklyn Community District 4,BK 04,304,6478,15
Brooklyn Community District 5,BK 05,305,7084,11
Brooklyn Community District 6,BK 06,306,2214,53
Brooklyn Community District 7,BK 07,307,2196,55
Brooklyn Community District 8,BK 08,308,4896,28
Brooklyn Community District 9,BK 09,309,4279,34
Brooklyn Community District 10,BK 10,310,2458,50
Brooklyn Community District 11,BK 11,311,3657,38
Brooklyn Community District 12,BK 12,312,2201,54
Brooklyn Community District 13,BK 13,313,2825,47
Brooklyn Community District 14,BK 14,314,5372,22
Brooklyn Community District 15,BK 15,315,3432,40
Brooklyn Community District 16,BK 16,316,4002,36
Brooklyn Community District 17,BK 17,317,5741,19
Brooklyn Community District 18,BK 18,318,3505,39
Manhattan Community District 1,MN 01,101,980,59
Manhattan Community District 2,MN 02,102,2593,48
Manhattan Community District 3,MN 03,103,8145,7
Manhattan Community District 4,MN 04,104,3700,37
Manhattan Community District 5,MN 05,105,1192,58
Manhattan Community District 6,MN 06,106,2489,49
Manhattan Community District 7,MN 07,107,4612,32
Manhattan Community District 8,MN 08,108,2911,46
Manhattan Community District 9,MN 09,109,7376,9
Manhattan Community District 10,MN 10,110,10277,2
Manhattan Community District 11,MN 11,111,5851,17
Manhattan Community District 12,MN 12,112,9842,3
Queens Community District 1,QN 01,401,5750,18
Queens Community District 2,QN 02,402,3295,45
Queens Community District 3,QN 03,403,5244,23
Queens Community District 4,QN 04,404,4712,29
Queens Community District 5,QN 05,405,4454,33
Queens Community District 6,QN 06,406,3339,43
Queens Community District 7,QN 07,407,5082,27
Queens Community District 8,QN 08,408,4159,35
Queens Community District 9,QN 09,409,5374,21
Queens Community District 10,QN 10,410,6161,16
Queens Community District 11,QN 11,411,1449,57
Queens Community District 12,QN 12,412,8941,5
Queens Community District 13,QN 13,413,3402,41
Queens Community District 14,QN 14,414,3357,42
Staten Island Community District 1,SI 01,501,4628,31
Staten Island Community District 2,SI 02,502,2281,52
Staten Island Community District 3,SI 03,503,1733,56
