Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,3201,18
Bronx Community District 2,BX 02,202,1612,35
Bronx Community District 3,BX 03,203,5788,7
Bronx Community District 4,BX 04,204,7202,3
Bronx Community District 5,BX 05,205,5965,5
Bronx Community District 6,BX 06,206,3373,15
Bronx Community District 7,BX 07,207,5926,6
Bronx Community District 8,BX 08,208,2849,22
Bronx Community District 9,BX 09,209,3505,14
Bronx Community District 10,BX 10,210,853,52
Bronx Community District 11,BX 11,211,1686,34
Bronx Community District 12,BX 12,212,1530,38
Brooklyn Community District 1,BK 01,301,4108,13
Brooklyn Community District 2,BK 02,302,2926,21
Brooklyn Community District 3,BK 03,303,3252,17
Brooklyn Community District 4,BK 04,304,4758,8
Brooklyn Community District 5,BK 05,305,2434,27
Brooklyn Community District 6,BK 06,306,1233,43
Brooklyn Community District 7,BK 07,307,1364,42
Brooklyn Community District 8,BK 08,308,2384,28
Brooklyn Community District 9,BK 09,309,3132,19
Brooklyn Community District 10,BK 10,310,922,50
Brooklyn Community District 11,BK 11,311,706,53
Brooklyn Community District 12,BK 12,312,1721,33
Brooklyn Community District 13,BK 13,313,959,49
Brooklyn Community District 14,BK 14,314,3330,16
Brooklyn Community District 15,BK 15,315,1078,46
Brooklyn Community District 16,BK 16,316,1435,40
Brooklyn Community District 17,BK 17,317,1988,29
Brooklyn Community District 18,BK 18,318,963,48
Manhattan Community District 1,MN 01,101,901,51
Manhattan Community District 2,MN 02,102,2735,23
Manhattan Community District 3,MN 03,103,4250,10
Manhattan Community District 4,MN 04,104,1862,31
Manhattan Community District 5,MN 05,105,2712,24
Manhattan Community District 6,MN 06,106,1374,41
Manhattan Community District 7,MN 07,107,2601,25
Manhattan Community District 8,MN 08,108,1553,37
Manhattan Community District 9,MN 09,109,7160,4
Manhattan Community District 10,MN 10,110,8908,2
Manhattan Community District 11,MN 11,111,4597,9
Manhattan Community District 12,MN 12,112,13374,1
Queens Community District 1,QN 01,401,2927,20
Queens Community District 2,QN 02,402,1791,32
Queens Community District 3,QN 03,403,2474,26
Queens Community District 4,QN 04,404,4138,11
Queens Community District 5,QN 05,405,1583,36
Queens Community District 6,QN 06,406,483,55
Queens Community District 7,QN 07,407,4128,12
Queens Community District 8,QN 08,408,471,56
Queens Community District 9,QN 09,409,1185,44
Queens Community District 10,QN 10,410,1125,45
Queens Community District 11,QN 11,411,273,59
Queens Community District 12,QN 12,412,1878,30
Queens Community District 13,QN 13,413,651,54
Queens Community District 14,QN 14,414,1462,39
Staten Island Community District 1,SI 01,501,1057,47
Staten Island Community District 2,SI 02,502,395,57
Staten Island Community District 3,SI 03,503,380,58
