Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,4971,27
Bronx Community District 2,BX 02,202,2136,54
Bronx Community District 3,BX 03,203,7287,11
Bronx Community District 4,BX 04,204,7763,9
Bronx Community District 5,BX 05,205,7855,7
Bronx Community District 6,BX 06,206,4880,30
Bronx Community District 7,BX 07,207,10010,3
Bronx Community District 8,BX 08,208,4715,32
Bronx Community District 9,BX 09,209,7458,10
Bronx Community District 10,BX 10,210,3205,45
Bronx Community District 11,BX 11,211,5312,24
Bronx Community District 12,BX 12,212,9758,4
Brooklyn Community District 1,BK 01,301,6517,15
Brooklyn Community District 2,BK 02,302,5372,22
Brooklyn Community District 3,BK 03,303,8886,6
Brooklyn Community District 4,BK 04,304,5951,18
Brooklyn Community District 5,BK 05,305,7824,8
Brooklyn Community District 6,BK 06,306,2037,55
Brooklyn Community District 7,BK 07,307,2402,50
Brooklyn Community District 8,BK 08,308,4251,36
Brooklyn Community District 9,BK 09,309,4375,35
Brooklyn Community District 10,BK 10,310,2945,47
Brooklyn Community District 11,BK 11,311,3234,44
Brooklyn Community District 12,BK 12,312,2741,48
Brooklyn Community District 13,BK 13,313,4060,38
Brooklyn Community District 14,BK 14,314,6236,17
Brooklyn Community District 15,BK 15,315,3989,39
Brooklyn Community District 16,BK 16,316,4517,34
Brooklyn Community District 17,BK 17,317,6597,14
Brooklyn Community District 18,BK 18,318,3793,41
Manhattan Community District 1,MN 01,101,1040,59
Manhattan Community District 2,MN 02,102,2266,51
Manhattan Community District 3,MN 03,103,7031,12
Manhattan Community District 4,MN 04,104,3525,43
Manhattan Community District 5,MN 05,105,1177,58
Manhattan Community District 6,MN 06,106,2227,52
Manhattan Community District 7,MN 07,107,5009,25
Manhattan Community District 8,MN 08,108,2605,49
Manhattan Community District 9,MN 09,109,6978,13
Manhattan Community District 10,MN 10,110,10148,2
Manhattan Community District 11,MN 11,111,5437,21
Manhattan Community District 12,MN 12,112,9106,5
Queens Community District 1,QN 01,401,5678,20
Queens Community District 2,QN 02,402,3106,46
Queens Community District 3,QN 03,403,4894,29
Queens Community District 4,QN 04,404,5328,23
Queens Community District 5,QN 05,405,4747,31
Queens Community District 6,QN 06,406,3767,42
Queens Community District 7,QN 07,407,4977,26
Queens Community District 8,QN 08,408,4107,37
Queens Community District 9,QN 09,409,5802,19
Queens Community District 10,QN 10,410,6404,16
Queens Community District 11,QN 11,411,1520,57
Queens Community District 12,QN 12,412,11562,1
Queens Community District 13,QN 13,413,4639,33
Queens Community District 14,QN 14,414,3929,40
Staten Island Community District 1,SI 01,501,4919,28
Staten Island Community District 2,SI 02,502,2189,53
Staten Island Community District 3,SI 03,503,1973,56
