Community District Number,CD Code,BoroCD,Number of Complaints after Law Enforcement,Ranking
Bronx Community District 1,BX 01,201,440,47
Bronx Community District 2,BX 02,202,261,59
Bronx Community District 3,BX 03,203,263,58
Bronx Community District 4,BX 04,204,329,53
Bronx Community District 5,BX 05,205,310,55
Bronx Community District 6,BX 06,206,305,57
Bronx Community District 7,BX 07,207,492,42
Bronx Community District 8,BX 08,208,699,29
Bronx Community District 9,BX 09,209,446,46
Bronx Community District 10,BX 10,210,500,41
Bronx Community District 11,BX 11,211,708,28
Bronx Community District 12,BX 12,212,394,51
Brooklyn Community District 1,BK 01,301,2370,5
Brooklyn Community District 2,BK 02,302,2668,2
Brooklyn Community District 3,BK 03,303,1392,14
Brooklyn Community District 4,BK 04,304,1022,18
Brooklyn Community District 5,BK 05,305,482,43
Brooklyn Community District 6,BK 06,306,1562,12
Brooklyn Community District 7,BK 07,307,780,24
Brooklyn Community District 8,BK 08,308,1102,17
Brooklyn Community District 9,BK 09,309,796,23
Brooklyn Community District 10,BK 10,310,663,31
Brooklyn Community District 11,BK 11,311,590,33
Brooklyn Community District 12,BK 12,312,596,32
Brooklyn Community District 13,BK 13,313,463,44
Brooklyn Community District 14,BK 14,314,912,20
Brooklyn Community District 15,BK 15,315,671,30
Brooklyn Community District 16,BK 16,316,307,56
Brooklyn Community District 17,BK 17,317,525,37
Brooklyn Community District 18,BK 18,318,507,40
Manhattan Community District 1,MN 01,101,1642,11
Manhattan Community District 2,MN 02,102,1719,10
Manhattan Community District 3,MN 03,103,1839,9
Manhattan Community District 4,MN 04,104,2356,6
Manhattan Community District 5,MN 05,105,1854,8
Manhattan Community District 6,MN 06,106,2444,4
Manhattan Community District 7,MN 07,107,2455,3
Manhattan Community District 8,MN 08,108,2864,1
Manhattan Community District 9,MN 09,109,760,25
Manhattan Community District 10,MN 10,110,988,19
Manhattan Community District 11,MN 11,111,852,22
Manhattan Community District 12,MN 12,112,1310,15
Queens Community District 1,QN 01,401,1912,7
Queens Community District 2,QN 02,402,1280,16
Queens Community District 3,QN 03,403,440,47
Queens Community District 4,QN 04,404,353,52
Queens Community District 5,QN 05,405,861,21
Queens Community District 6,QN 06,406,716,27
Queens Community District 7,QN 07,407,1454,13
Queens Community District 8,QN 08,408,433,49
Queens Community District 9,QN 09,409,541,36
Queens Community District 10,QN 10,410,314,54
Queens Community District 11,QN 11,411,515,39
Queens Community District 12,QN 12,412,568,35
Queens Community District 13,QN 13,413,522,38
Queens Community District 14,QN 14,414,402,50
Staten Island Community District 1,SI 01,501,759,26
Staten Island Community District 2,SI 02,502,571,34
Staten Island Community District 3,SI 03,503,447,45
