Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,2457,21
Bronx Community District 2,BX 02,202,1192,43
Bronx Community District 3,BX 03,203,4682,6
Bronx Community District 4,BX 04,204,8140,2
Bronx Community District 5,BX 05,205,7009,4
Bronx Community District 6,BX 06,206,2319,24
Bronx Community District 7,BX 07,207,4435,8
Bronx Community District 8,BX 08,208,1846,31
Bronx Community District 9,BX 09,209,2814,15
Bronx Community District 10,BX 10,210,603,55
Bronx Community District 11,BX 11,211,1290,40
Bronx Community District 12,BX 12,212,1702,33
Brooklyn Community District 1,BK 01,301,3569,11
Brooklyn Community District 2,BK 02,302,2107,27
Brooklyn Community District 3,BK 03,303,3374,12
Brooklyn Community District 4,BK 04,304,3739,9
Brooklyn Community District 5,BK 05,305,2639,16
Brooklyn Community District 6,BK 06,306,1151,44
Brooklyn Community District 7,BK 07,307,1495,36
Brooklyn Community District 8,BK 08,308,2265,25
Brooklyn Community District 9,BK 09,309,2502,19
Brooklyn Community District 10,BK 10,310,766,51
Brooklyn Community District 11,BK 11,311,629,54
Brooklyn Community District 12,BK 12,312,1681,35
Brooklyn Community District 13,BK 13,313,1028,46
Brooklyn Community District 14,BK 14,314,2564,18
Brooklyn Community District 15,BK 15,315,995,48
Brooklyn Community District 16,BK 16,316,1258,41
Brooklyn Community District 17,BK 17,317,1687,34
Brooklyn Community District 18,BK 18,318,845,49
Manhattan Community District 1,MN 01,101,777,50
Manhattan Community District 2,MN 02,102,2621,17
Manhattan Community District 3,MN 03,103,4610,7
Manhattan Community District 4,MN 04,104,2097,29
Manhattan Community District 5,MN 05,105,2324,23
Manhattan Community District 6,MN 06,106,1056,45
Manhattan Community District 7,MN 07,107,3178,13
Manhattan Community District 8,MN 08,108,1345,38
Manhattan Community District 9,MN 09,109,5674,5
Manhattan Community District 10,MN 10,110,8113,3
Manhattan Community District 11,MN 11,111,3606,10
Manhattan Community District 12,MN 12,112,13298,1
Queens Community District 1,QN 01,401,2420,22
Queens Community District 2,QN 02,402,1932,30
Queens Community District 3,QN 03,403,2173,26
Queens Community District 4,QN 04,404,2865,14
Queens Community District 5,QN 05,405,1729,32
Queens Community District 6,QN 06,406,652,53
Queens Community District 7,QN 07,407,2488,20
Queens Community District 8,QN 08,408,471,56
Queens Community District 9,QN 09,409,1246,42
Queens Community District 10,QN 10,410,1334,39
Queens Community District 11,QN 11,411,248,59
Queens Community District 12,QN 12,412,2107,27
Queens Community District 13,QN 13,413,654,52
Queens Community District 14,QN 14,414,1372,37
Staten Island Community District 1,SI 01,501,1013,47
Staten Island Community District 2,SI 02,502,353,58
Staten Island Community District 3,SI 03,503,382,57
