Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,38.9,54
Bronx Community District 2,BX 02,202,37.9,55
Bronx Community District 3,BX 03,203,37.1,58
Bronx Community District 4,BX 04,204,40.3,51
Bronx Community District 5,BX 05,205,35.8,59
Bronx Community District 6,BX 06,206,37.7,56
Bronx Community District 7,BX 07,207,41.8,47
Bronx Community District 8,BX 08,208,57.3,17
Bronx Community District 9,BX 09,209,41.2,48
Bronx Community District 10,BX 10,210,45.1,38
Bronx Community District 11,BX 11,211,43,45
Bronx Community District 12,BX 12,212,40.4,50
Brooklyn Community District 1,BK 01,301,63.4,11
Brooklyn Community District 2,BK 02,302,64.5,10
Brooklyn Community District 3,BK 03,303,45.6,36
Brooklyn Community District 4,BK 04,304,51.9,28
Brooklyn Community District 5,BK 05,305,39.5,53
Brooklyn Community District 6,BK 06,306,70,7
Brooklyn Community District 7,BK 07,307,58.6,15
Brooklyn Community District 8,BK 08,308,60.8,12
Brooklyn Community District 9,BK 09,309,51.5,30
Brooklyn Community District 10,BK 10,310,50.7,31
Brooklyn Community District 11,BK 11,311,48.5,33
Brooklyn Community District 12,BK 12,312,49.4,32
Brooklyn Community District 13,BK 13,313,51.7,29
Brooklyn Community District 14,BK 14,314,55.9,19
Brooklyn Community District 15,BK 15,315,44.3,43
Brooklyn Community District 16,BK 16,316,44.9,40
Brooklyn Community District 17,BK 17,317,42.6,46
Brooklyn Community District 18,BK 18,318,52.8,27
Manhattan Community District 1,MN 01,101,73.7,5
Manhattan Community District 2,MN 02,102,77.7,2
Manhattan Community District 3,MN 03,103,60,13
Manhattan Community District 4,MN 04,104,77.2,3
Manhattan Community District 5,MN 05,105,66.4,8
Manhattan Community District 6,MN 06,106,66,9
Manhattan Community District 7,MN 07,107,78.2,1
Manhattan Community District 8,MN 08,108,74.1,4
Manhattan Community District 9,MN 09,109,58.5,16
Manhattan Community District 10,MN 10,110,55.7,20
Manhattan Community District 11,MN 11,111,47.2,34
Manhattan Community District 12,MN 12,112,54.8,22
Queens Community District 1,QN 01,401,70.4,6
Queens Community District 2,QN 02,402,56.8,18
Queens Community District 3,QN 03,403,60,13
Queens Community District 4,QN 04,404,45.3,37
Queens Community District 5,QN 05,405,40.3,51
Queens Community District 6,QN 06,406,53.1,25
Queens Community District 7,QN 07,407,53,26
Queens Community District 8,QN 08,408,53.6,24
Queens Community District 9,QN 09,409,54.4,23
Queens Community District 10,QN 10,410,37.5,57
Queens Community District 11,QN 11,411,55.1,21
Queens Community District 12,QN 12,412,40.9,49
Queens Community District 13,QN 13,413,43.4,44
Queens Community District 14,QN 14,414,45.9,35
Staten Island Community District 1,SI 01,501,45.1,38
Staten Island Community District 2,SI 02,502,44.4,42
Staten Island Community District 3,SI 03,503,44.5,41
