Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,12.8,59
Bronx Community District 2,BX 02,202,19.4,50
Bronx Community District 3,BX 03,203,16.8,56
Bronx Community District 4,BX 04,204,21.8,43
Bronx Community District 5,BX 05,205,15.5,57
Bronx Community District 6,BX 06,206,20.1,49
Bronx Community District 7,BX 07,207,17.6,55
Bronx Community District 8,BX 08,208,56.9,3
Bronx Community District 9,BX 09,209,32.2,27
Bronx Community District 10,BX 10,210,51.7,8
Bronx Community District 11,BX 11,211,42.7,17
Bronx Community District 12,BX 12,212,26.3,36
Brooklyn Community District 1,BK 01,301,21.5,44
Brooklyn Community District 2,BK 02,302,41.7,18
Brooklyn Community District 3,BK 03,303,20.8,46
Brooklyn Community District 4,BK 04,304,20.7,47
Brooklyn Community District 5,BK 05,305,27.2,34
Brooklyn Community District 6,BK 06,306,43,15
Brooklyn Community District 7,BK 07,307,33.1,26
Brooklyn Community District 8,BK 08,308,24.8,38
Brooklyn Community District 9,BK 09,309,23.7,40
Brooklyn Community District 10,BK 10,310,45.5,10
Brooklyn Community District 11,BK 11,311,39.4,22
Brooklyn Community District 12,BK 12,312,30.3,31
Brooklyn Community District 13,BK 13,313,27.8,33
Brooklyn Community District 14,BK 14,314,27.1,35
Brooklyn Community District 15,BK 15,315,37.4,23
Brooklyn Community District 16,BK 16,316,18.2,53
Brooklyn Community District 17,BK 17,317,23.3,41
Brooklyn Community District 18,BK 18,318,43.8,13
Manhattan Community District 1,MN 01,101,36.2,25
Manhattan Community District 2,MN 02,102,21.9,42
Manhattan Community District 3,MN 03,103,20.6,48
Manhattan Community District 4,MN 04,104,19.1,52
Manhattan Community District 5,MN 05,105,19.3,51
Manhattan Community District 6,MN 06,106,31.4,29
Manhattan Community District 7,MN 07,107,40.3,21
Manhattan Community District 8,MN 08,108,41,19
Manhattan Community District 9,MN 09,109,26.3,36
Manhattan Community District 10,MN 10,110,17.8,54
Manhattan Community District 11,MN 11,111,13.9,58
Manhattan Community District 12,MN 12,112,20.9,45
Queens Community District 1,QN 01,401,36.3,24
Queens Community District 2,QN 02,402,40.4,20
Queens Community District 3,QN 03,403,24.7,39
Queens Community District 4,QN 04,404,28,32
Queens Community District 5,QN 05,405,43.1,14
Queens Community District 6,QN 06,406,45.2,11
Queens Community District 7,QN 07,407,51.9,7
Queens Community District 8,QN 08,408,55.1,4
Queens Community District 9,QN 09,409,31.3,30
Queens Community District 10,QN 10,410,45.1,12
Queens Community District 11,QN 11,411,65,1
Queens Community District 12,QN 12,412,31.7,28
Queens Community District 13,QN 13,413,53.6,5
Queens Community District 14,QN 14,414,42.9,16
Staten Island Community District 1,SI 01,501,47.4,9
Staten Island Community District 2,SI 02,502,52.8,6
Staten Island Community District 3,SI 03,503,65,1
