Community District Number,CD Code,BoroCD,Number of Complaints after Law Enforcement,Ranking
Bronx Community District 1,BX 01,201,37,56
Bronx Community District 2,BX 02,202,16,59
Bronx Community District 3,BX 03,203,28,58
Bronx Community District 4,BX 04,204,48,52
Bronx Community District 5,BX 05,205,49,51
Bronx Community District 6,BX 06,206,39,54
Bronx Community District 7,BX 07,207,60,45
Bronx Community District 8,BX 08,208,76,39
Bronx Community District 9,BX 09,209,58,47
Bronx Community District 10,BX 10,210,58,47
Bronx Community District 11,BX 11,211,163,17
Bronx Community District 12,BX 12,212,50,50
Brooklyn Community District 1,BK 01,301,348,5
Brooklyn Community District 2,BK 02,302,267,7
Brooklyn Community District 3,BK 03,303,121,23
Brooklyn Community District 4,BK 04,304,98,33
Brooklyn Community District 5,BK 05,305,109,29
Brooklyn Community District 6,BK 06,306,258,8
Brooklyn Community District 7,BK 07,307,189,13
Brooklyn Community District 8,BK 08,308,196,12
Brooklyn Community District 9,BK 09,309,92,37
Brooklyn Community District 10,BK 10,310,119,24
Brooklyn Community District 11,BK 11,311,67,42
Brooklyn Community District 12,BK 12,312,122,22
Brooklyn Community District 13,BK 13,313,69,41
Brooklyn Community District 14,BK 14,314,101,32
Brooklyn Community District 15,BK 15,315,102,31
Brooklyn Community District 16,BK 16,316,31,57
Brooklyn Community District 17,BK 17,317,55,49
Brooklyn Community District 18,BK 18,318,60,45
Manhattan Community District 1,MN 01,101,87,38
Manhattan Community District 2,MN 02,102,254,9
Manhattan Community District 3,MN 03,103,169,14
Manhattan Community District 4,MN 04,104,237,10
Manhattan Community District 5,MN 05,105,3063,1
Manhattan Community District 6,MN 06,106,143,20
Manhattan Community District 7,MN 07,107,372,3
Manhattan Community District 8,MN 08,108,365,4
Manhattan Community District 9,MN 09,109,111,28
Manhattan Community District 10,MN 10,110,132,21
Manhattan Community District 11,MN 11,111,97,35
Manhattan Community District 12,MN 12,112,211,11
Queens Community District 1,QN 01,401,276,6
Queens Community District 2,QN 02,402,117,25
Queens Community District 3,QN 03,403,146,19
Queens Community District 4,QN 04,404,38,55
Queens Community District 5,QN 05,405,149,18
Queens Community District 6,QN 06,406,166,15
Queens Community District 7,QN 07,407,165,16
Queens Community District 8,QN 08,408,2136,2
Queens Community District 9,QN 09,409,64,43
Queens Community District 10,QN 10,410,98,33
Queens Community District 11,QN 11,411,70,40
Queens Community District 12,QN 12,412,115,26
Queens Community District 13,QN 13,413,94,36
Queens Community District 14,QN 14,414,43,53
Staten Island Community District 1,SI 01,501,112,27
Staten Island Community District 2,SI 02,502,107,30
Staten Island Community District 3,SI 03,503,63,44
