Community District Number,CD Code,BoroCD,mcg/m³ of PM2.5,Ranking
Bronx Community District 1,BX 01,201,7.69,12
Bronx Community District 2,BX 02,202,7.82,10
Bronx Community District 3,BX 03,203,6.91,26
Bronx Community District 4,BX 04,204,7.24,16
Bronx Community District 5,BX 05,205,7.29,15
Bronx Community District 6,BX 06,206,7.15,20
Bronx Community District 7,BX 07,207,6.78,29
Bronx Community District 8,BX 08,208,6.68,31
Bronx Community District 9,BX 09,209,6.81,28
Bronx Community District 10,BX 10,210,6.7,30
Bronx Community District 11,BX 11,211,6.65,34
Bronx Community District 12,BX 12,212,6.66,33
Brooklyn Community District 1,BK 01,301,8.61,6
Brooklyn Community District 2,BK 02,302,7.19,18
Brooklyn Community District 3,BK 03,303,6.6,38
Brooklyn Community District 4,BK 04,304,7.1,22
Brooklyn Community District 5,BK 05,305,6.52,39
Brooklyn Community District 6,BK 06,306,7.7,11
Brooklyn Community District 7,BK 07,307,7.37,14
Brooklyn Community District 8,BK 08,308,6.68,31
Brooklyn Community District 9,BK 09,309,6.34,45
Brooklyn Community District 10,BK 10,310,6.39,43
Brooklyn Community District 11,BK 11,311,6.16,50
Brooklyn Community District 12,BK 12,312,6.37,44
Brooklyn Community District 13,BK 13,313,5.98,56
Brooklyn Community District 14,BK 14,314,6.2,47
Brooklyn Community District 15,BK 15,315,6.07,53
Brooklyn Community District 16,BK 16,316,6.65,34
Brooklyn Community District 17,BK 17,317,6.43,41
Brooklyn Community District 18,BK 18,318,6.11,52
Manhattan Community District 1,MN 01,101,8.42,8
Manhattan Community District 2,MN 02,102,9.94,2
Manhattan Community District 3,MN 03,103,8.67,5
Manhattan Community District 4,MN 04,104,9.32,4
Manhattan Community District 5,MN 05,105,11.53,1
Manhattan Community District 6,MN 06,106,9.36,3
Manhattan Community District 7,MN 07,107,7.38,13
Manhattan Community District 8,MN 08,108,8.03,9
Manhattan Community District 9,MN 09,109,6.93,25
Manhattan Community District 10,MN 10,110,6.97,24
Manhattan Community District 11,MN 11,111,7.13,21
Manhattan Community District 12,MN 12,112,7.17,19
Queens Community District 1,QN 01,401,7.21,17
Queens Community District 2,QN 02,402,8.43,7
Queens Community District 3,QN 03,403,6.65,34
Queens Community District 4,QN 04,404,6.85,27
Queens Community District 5,QN 05,405,7,23
Queens Community District 6,QN 06,406,6.46,40
Queens Community District 7,QN 07,407,6.65,34
Queens Community District 8,QN 08,408,6.2,47
Queens Community District 9,QN 09,409,6.4,42
Queens Community District 10,QN 10,410,6.05,54
Queens Community District 11,QN 11,411,6.19,49
Queens Community District 12,QN 12,412,6.23,46
Queens Community District 13,QN 13,413,6.03,55
Queens Community District 14,QN 14,414,5.59,59
Staten Island Community District 1,SI 01,501,6.14,51
Staten Island Community District 2,SI 02,502,5.88,57
Staten Island Community District 3,SI 03,503,5.83,58
