Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,15.1,59
Bronx Community District 2,BX 02,202,19.1,48
Bronx Community District 3,BX 03,203,17.6,53
Bronx Community District 4,BX 04,204,23.1,31
Bronx Community District 5,BX 05,205,17.5,55
Bronx Community District 6,BX 06,206,19.6,46
Bronx Community District 7,BX 07,207,20.7,41
Bronx Community District 8,BX 08,208,29.5,10
Bronx Community District 9,BX 09,209,21.3,38
Bronx Community District 10,BX 10,210,26.1,17
Bronx Community District 11,BX 11,211,27,15
Bronx Community District 12,BX 12,212,24.3,26
Brooklyn Community District 1,BK 01,301,16.7,56
Brooklyn Community District 2,BK 02,302,21.5,36
Brooklyn Community District 3,BK 03,303,18.6,50
Brooklyn Community District 4,BK 04,304,20.5,42
Brooklyn Community District 5,BK 05,305,21.9,32
Brooklyn Community District 6,BK 06,306,24.8,24
Brooklyn Community District 7,BK 07,307,25,23
Brooklyn Community District 8,BK 08,308,21.7,34
Brooklyn Community District 9,BK 09,309,21.8,33
Brooklyn Community District 10,BK 10,310,29.6,9
Brooklyn Community District 11,BK 11,311,32.4,3
Brooklyn Community District 12,BK 12,312,25.2,22
Brooklyn Community District 13,BK 13,313,31.4,5
Brooklyn Community District 14,BK 14,314,25.7,18
Brooklyn Community District 15,BK 15,315,27.8,12
Brooklyn Community District 16,BK 16,316,17.6,53
Brooklyn Community District 17,BK 17,317,18.4,51
Brooklyn Community District 18,BK 18,318,26.6,16
Manhattan Community District 1,MN 01,101,19.7,45
Manhattan Community District 2,MN 02,102,19.3,47
Manhattan Community District 3,MN 03,103,17.8,52
Manhattan Community District 4,MN 04,104,16.1,57
Manhattan Community District 5,MN 05,105,20.9,40
Manhattan Community District 6,MN 06,106,20.1,43
Manhattan Community District 7,MN 07,107,28.4,11
Manhattan Community District 8,MN 08,108,24.8,24
Manhattan Community District 9,MN 09,109,24.2,27
Manhattan Community District 10,MN 10,110,16,58
Manhattan Community District 11,MN 11,111,19,49
Manhattan Community District 12,MN 12,112,21.5,36
Queens Community District 1,QN 01,401,20,44
Queens Community District 2,QN 02,402,21.7,34
Queens Community District 3,QN 03,403,24,29
Queens Community District 4,QN 04,404,30.1,8
Queens Community District 5,QN 05,405,25.4,20
Queens Community District 6,QN 06,406,30.5,6
Queens Community District 7,QN 07,407,35.7,1
Queens Community District 8,QN 08,408,31.5,4
Queens Community District 9,QN 09,409,27.2,14
Queens Community District 10,QN 10,410,25.4,20
Queens Community District 11,QN 11,411,34.7,2
Queens Community District 12,QN 12,412,25.5,19
Queens Community District 13,QN 13,413,27.3,13
Queens Community District 14,QN 14,414,30.4,7
Staten Island Community District 1,SI 01,501,21.3,38
Staten Island Community District 2,SI 02,502,24,29
Staten Island Community District 3,SI 03,503,24.2,27
