Community District Number,CD Code,BoroCD,Mean ppb,Ranking
Bronx Community District 1,BX 01,201,19.1,11
Bronx Community District 2,BX 02,202,18.8,15
Bronx Community District 3,BX 03,203,18.1,21
Bronx Community District 4,BX 04,204,19,14
Bronx Community District 5,BX 05,205,19.1,11
Bronx Community District 6,BX 06,206,18.2,19
Bronx Community District 7,BX 07,207,17.9,22
Bronx Community District 8,BX 08,208,15.8,39
Bronx Community District 9,BX 09,209,16.9,30
Bronx Community District 10,BX 10,210,15.5,43
Bronx Community District 11,BX 11,211,16.8,33
Bronx Community District 12,BX 12,212,16.5,35
Brooklyn Community District 1,BK 01,301,19.7,7
Brooklyn Community District 2,BK 02,302,18.4,18
Brooklyn Community District 3,BK 03,303,17.5,25
Brooklyn Community District 4,BK 04,304,17.5,25
Brooklyn Community District 5,BK 05,305,15.5,43
Brooklyn Community District 6,BK 06,306,18.2,19
Brooklyn Community District 7,BK 07,307,16.9,30
Brooklyn Community District 8,BK 08,308,17.3,28
Brooklyn Community District 9,BK 09,309,16.9,30
Brooklyn Community District 10,BK 10,310,15.2,47
Brooklyn Community District 11,BK 11,311,15.4,46
Brooklyn Community District 12,BK 12,312,16.2,37
Brooklyn Community District 13,BK 13,313,13,56
Brooklyn Community District 14,BK 14,314,15.6,41
Brooklyn Community District 15,BK 15,315,14,51
Brooklyn Community District 16,BK 16,316,16.8,33
Brooklyn Community District 17,BK 17,317,16.2,37
Brooklyn Community District 18,BK 18,318,13.7,52
Manhattan Community District 1,MN 01,101,21.7,4
Manhattan Community District 2,MN 02,102,21.3,5
Manhattan Community District 3,MN 03,103,19.4,9
Manhattan Community District 4,MN 04,104,22.5,3
Manhattan Community District 5,MN 05,105,26.3,1
Manhattan Community District 6,MN 06,106,22.6,2
Manhattan Community District 7,MN 07,107,19.6,8
Manhattan Community District 8,MN 08,108,20.9,6
Manhattan Community District 9,MN 09,109,18.6,17
Manhattan Community District 10,MN 10,110,19.1,11
Manhattan Community District 11,MN 11,111,18.8,15
Manhattan Community District 12,MN 12,112,17.9,22
Queens Community District 1,QN 01,401,17.6,24
Queens Community District 2,QN 02,402,19.2,10
Queens Community District 3,QN 03,403,17,29
Queens Community District 4,QN 04,404,17.5,25
Queens Community District 5,QN 05,405,16.5,35
Queens Community District 6,QN 06,406,15.7,40
Queens Community District 7,QN 07,407,15.6,41
Queens Community District 8,QN 08,408,14.1,50
Queens Community District 9,QN 09,409,15.5,43
Queens Community District 10,QN 10,410,14.3,48
Queens Community District 11,QN 11,411,13.4,54
Queens Community District 12,QN 12,412,14.3,48
Queens Community District 13,QN 13,413,13.1,55
Queens Community District 14,QN 14,414,10.5,58
Staten Island Community District 1,SI 01,501,13.7,52
Staten Island Community District 2,SI 02,502,11.5,57
Staten Island Community District 3,SI 03,503,10.5,58
