Community District Number,CD Code,BoroCD,Mean ppb,Ranking
Bronx Community District 1,BX 01,201,17.8,12
Bronx Community District 2,BX 02,202,18.1,11
Bronx Community District 3,BX 03,203,16.9,18
Bronx Community District 4,BX 04,204,17.3,16
Bronx Community District 5,BX 05,205,17.1,17
Bronx Community District 6,BX 06,206,16.6,23
Bronx Community District 7,BX 07,207,15.8,32
Bronx Community District 8,BX 08,208,14.5,49
Bronx Community District 9,BX 09,209,16.2,28
Bronx Community District 10,BX 10,210,15.5,33
Bronx Community District 11,BX 11,211,15.4,35
Bronx Community District 12,BX 12,212,15.2,40
Brooklyn Community District 1,BK 01,301,18.5,7
Brooklyn Community District 2,BK 02,302,18.5,7
Brooklyn Community District 3,BK 03,303,16.6,23
Brooklyn Community District 4,BK 04,304,16.6,23
Brooklyn Community District 5,BK 05,305,15.4,35
Brooklyn Community District 6,BK 06,306,17.5,14
Brooklyn Community District 7,BK 07,307,17.4,15
Brooklyn Community District 8,BK 08,308,16.6,23
Brooklyn Community District 9,BK 09,309,15.4,35
Brooklyn Community District 10,BK 10,310,15.2,40
Brooklyn Community District 11,BK 11,311,14.1,51
Brooklyn Community District 12,BK 12,312,15.2,40
Brooklyn Community District 13,BK 13,313,12.8,56
Brooklyn Community District 14,BK 14,314,14.7,46
Brooklyn Community District 15,BK 15,315,13.1,55
Brooklyn Community District 16,BK 16,316,15.9,30
Brooklyn Community District 17,BK 17,317,15.3,38
Brooklyn Community District 18,BK 18,318,13.3,54
Manhattan Community District 1,MN 01,101,21,4
Manhattan Community District 2,MN 02,102,20.2,5
Manhattan Community District 3,MN 03,103,17.8,12
Manhattan Community District 4,MN 04,104,21.4,2
Manhattan Community District 5,MN 05,105,25.5,1
Manhattan Community District 6,MN 06,106,21.1,3
Manhattan Community District 7,MN 07,107,18.2,10
Manhattan Community District 8,MN 08,108,18.9,6
Manhattan Community District 9,MN 09,109,16.8,20
Manhattan Community District 10,MN 10,110,16.8,20
Manhattan Community District 11,MN 11,111,16.7,22
Manhattan Community District 12,MN 12,112,16.9,18
Queens Community District 1,QN 01,401,16.1,29
Queens Community District 2,QN 02,402,18.4,9
Queens Community District 3,QN 03,403,15.5,33
Queens Community District 4,QN 04,404,16.4,27
Queens Community District 5,QN 05,405,15.9,30
Queens Community District 6,QN 06,406,15.3,38
Queens Community District 7,QN 07,407,15.2,40
Queens Community District 8,QN 08,408,14.7,46
Queens Community District 9,QN 09,409,15.1,44
Queens Community District 10,QN 10,410,13.7,52
Queens Community District 11,QN 11,411,14.8,45
Queens Community District 12,QN 12,412,14.7,46
Queens Community District 13,QN 13,413,14.3,50
Queens Community District 14,QN 14,414,11.4,58
Staten Island Community District 1,SI 01,501,13.5,53
Staten Island Community District 2,SI 02,502,11.8,57
Staten Island Community District 3,SI 03,503,9.3,59
