Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,11.8,58
Bronx Community District 2,BX 02,202,15.2,53
Bronx Community District 3,BX 03,203,10.2,59
Bronx Community District 4,BX 04,204,14.8,54
Bronx Community District 5,BX 05,205,19.1,46
Bronx Community District 6,BX 06,206,26.1,28
Bronx Community District 7,BX 07,207,16.8,51
Bronx Community District 8,BX 08,208,37.4,6
Bronx Community District 9,BX 09,209,13.6,57
Bronx Community District 10,BX 10,210,33.9,11
Bronx Community District 11,BX 11,211,15.5,52
Bronx Community District 12,BX 12,212,33,13
Brooklyn Community District 1,BK 01,301,14.5,55
Brooklyn Community District 2,BK 02,302,33,13
Brooklyn Community District 3,BK 03,303,26.5,27
Brooklyn Community District 4,BK 04,304,18.8,47
Brooklyn Community District 5,BK 05,305,20.4,45
Brooklyn Community District 6,BK 06,306,34.5,9
Brooklyn Community District 7,BK 07,307,17.2,50
Brooklyn Community District 8,BK 08,308,25,33
Brooklyn Community District 9,BK 09,309,22.5,42
Brooklyn Community District 10,BK 10,310,33.6,12
Brooklyn Community District 11,BK 11,311,26.1,28
Brooklyn Community District 12,BK 12,312,28.3,22
Brooklyn Community District 13,BK 13,313,36.4,7
Brooklyn Community District 14,BK 14,314,34.2,10
Brooklyn Community District 15,BK 15,315,27.2,23
Brooklyn Community District 16,BK 16,316,18.5,49
Brooklyn Community District 17,BK 17,317,18.7,48
Brooklyn Community District 18,BK 18,318,26.8,26
Manhattan Community District 1,MN 01,101,28.7,20
Manhattan Community District 2,MN 02,102,32.4,16
Manhattan Community District 3,MN 03,103,21.8,44
Manhattan Community District 4,MN 04,104,27,24
Manhattan Community District 5,MN 05,105,25.9,30
Manhattan Community District 6,MN 06,106,37.8,2
Manhattan Community District 7,MN 07,107,26.9,25
Manhattan Community District 8,MN 08,108,25.7,31
Manhattan Community District 9,MN 09,109,23.9,36
Manhattan Community District 10,MN 10,110,22.8,40
Manhattan Community District 11,MN 11,111,14.1,56
Manhattan Community District 12,MN 12,112,23.3,38
Queens Community District 1,QN 01,401,22.7,41
Queens Community District 2,QN 02,402,22.5,42
Queens Community District 3,QN 03,403,23.9,36
Queens Community District 4,QN 04,404,32.6,15
Queens Community District 5,QN 05,405,24.6,35
Queens Community District 6,QN 06,406,35,8
Queens Community District 7,QN 07,407,37.5,4
Queens Community District 8,QN 08,408,30,18
Queens Community District 9,QN 09,409,25.2,32
Queens Community District 10,QN 10,410,32.2,17
Queens Community District 11,QN 11,411,39.3,1
Queens Community District 12,QN 12,412,24.8,34
Queens Community District 13,QN 13,413,37.5,4
Queens Community District 14,QN 14,414,37.8,2
Staten Island Community District 1,SI 01,501,23.3,38
Staten Island Community District 2,SI 02,502,29,19
Staten Island Community District 3,SI 03,503,28.7,20
