Community District Number,CD Code,BoroCD,Number of Complaints after Law Enforcement,Ranking
Bronx Community District 1,BX 01,201,45,55
Bronx Community District 2,BX 02,202,28,58
Bronx Community District 3,BX 03,203,27,59
Bronx Community District 4,BX 04,204,60,51
Bronx Community District 5,BX 05,205,62,49
Bronx Community District 6,BX 06,206,61,50
Bronx Community District 7,BX 07,207,107,27
Bronx Community District 8,BX 08,208,87,41
Bronx Community District 9,BX 09,209,60,51
Bronx Community District 10,BX 10,210,53,53
Bronx Community District 11,BX 11,211,112,25
Bronx Community District 12,BX 12,212,75,44
Brooklyn Community District 1,BK 01,301,373,3
Brooklyn Community District 2,BK 02,302,346,5
Brooklyn Community District 3,BK 03,303,165,16
Brooklyn Community District 4,BK 04,304,103,29
Brooklyn Community District 5,BK 05,305,114,24
Brooklyn Community District 6,BK 06,306,355,4
Brooklyn Community District 7,BK 07,307,175,15
Brooklyn Community District 8,BK 08,308,127,22
Brooklyn Community District 9,BK 09,309,96,34
Brooklyn Community District 10,BK 10,310,101,31
Brooklyn Community District 11,BK 11,311,71,46
Brooklyn Community District 12,BK 12,312,92,36
Brooklyn Community District 13,BK 13,313,39,56
Brooklyn Community District 14,BK 14,314,104,28
Brooklyn Community District 15,BK 15,315,89,39
Brooklyn Community District 16,BK 16,316,35,57
Brooklyn Community District 17,BK 17,317,75,44
Brooklyn Community District 18,BK 18,318,70,47
Manhattan Community District 1,MN 01,101,141,20
Manhattan Community District 2,MN 02,102,266,8
Manhattan Community District 3,MN 03,103,209,12
Manhattan Community District 4,MN 04,104,272,7
Manhattan Community District 5,MN 05,105,2250,1
Manhattan Community District 6,MN 06,106,155,17
Manhattan Community District 7,MN 07,107,266,8
Manhattan Community District 8,MN 08,108,324,6
Manhattan Community District 9,MN 09,109,146,19
Manhattan Community District 10,MN 10,110,92,36
Manhattan Community District 11,MN 11,111,66,48
Manhattan Community District 12,MN 12,112,213,11
Queens Community District 1,QN 01,401,221,10
Queens Community District 2,QN 02,402,193,13
Queens Community District 3,QN 03,403,88,40
Queens Community District 4,QN 04,404,49,54
Queens Community District 5,QN 05,405,121,23
Queens Community District 6,QN 06,406,183,14
Queens Community District 7,QN 07,407,153,18
Queens Community District 8,QN 08,408,1164,2
Queens Community District 9,QN 09,409,95,35
Queens Community District 10,QN 10,410,97,33
Queens Community District 11,QN 11,411,77,43
Queens Community District 12,QN 12,412,103,29
Queens Community District 13,QN 13,413,80,42
Queens Community District 14,QN 14,414,101,31
Staten Island Community District 1,SI 01,501,111,26
Staten Island Community District 2,SI 02,502,90,38
Staten Island Community District 3,SI 03,503,128,21
