Community District Number,CD Code,BoroCD,mcg/m³ of PM2.5,Ranking
Bronx Community District 1,BX 01,201,6.1235,25
Bronx Community District 2,BX 02,202,6.5152,8
Bronx Community District 3,BX 03,203,6.2903,14
Bronx Community District 4,BX 04,204,6.0381,34
Bronx Community District 5,BX 05,205,6.1232,26
Bronx Community District 6,BX 06,206,6.3089,13
Bronx Community District 7,BX 07,207,6.1702,20
Bronx Community District 8,BX 08,208,6.042,32
Bronx Community District 9,BX 09,209,6.1489,23
Bronx Community District 10,BX 10,210,5.9616,35
Bronx Community District 11,BX 11,211,6.094,30
Bronx Community District 12,BX 12,212,6.0433,31
Brooklyn Community District 1,BK 01,301,6.5477,7
Brooklyn Community District 2,BK 02,302,6.4414,10
Brooklyn Community District 3,BK 03,303,6.0999,29
Brooklyn Community District 4,BK 04,304,6.2617,16
Brooklyn Community District 5,BK 05,305,5.6908,43
Brooklyn Community District 6,BK 06,306,6.3734,12
Brooklyn Community District 7,BK 07,307,6.1599,22
Brooklyn Community District 8,BK 08,308,6.1062,27
Brooklyn Community District 9,BK 09,309,5.7228,41
Brooklyn Community District 10,BK 10,310,5.7402,40
Brooklyn Community District 11,BK 11,311,5.5333,49
Brooklyn Community District 12,BK 12,312,5.7133,42
Brooklyn Community District 13,BK 13,313,5.4002,53
Brooklyn Community District 14,BK 14,314,5.6204,46
Brooklyn Community District 15,BK 15,315,5.39,54
Brooklyn Community District 16,BK 16,316,5.7577,39
Brooklyn Community District 17,BK 17,317,5.659,44
Brooklyn Community District 18,BK 18,318,5.332,56
Manhattan Community District 1,MN 01,101,7.2131,5
Manhattan Community District 2,MN 02,102,8.4212,2
Manhattan Community District 3,MN 03,103,7.1749,6
Manhattan Community District 4,MN 04,104,7.818,3
Manhattan Community District 5,MN 05,105,9.1041,1
Manhattan Community District 6,MN 06,106,7.4707,4
Manhattan Community District 7,MN 07,107,6.1016,28
Manhattan Community District 8,MN 08,108,6.3768,11
Manhattan Community District 9,MN 09,109,6.2464,18
Manhattan Community District 10,MN 10,110,6.2489,17
Manhattan Community District 11,MN 11,111,6.1641,21
Manhattan Community District 12,MN 12,112,6.2806,15
Queens Community District 1,QN 01,401,6.1914,19
Queens Community District 2,QN 02,402,6.4519,9
Queens Community District 3,QN 03,403,6.0404,33
Queens Community District 4,QN 04,404,6.1328,24
Queens Community District 5,QN 05,405,5.9164,36
Queens Community District 6,QN 06,406,5.658,45
Queens Community District 7,QN 07,407,5.8695,37
Queens Community District 8,QN 08,408,5.5259,50
Queens Community District 9,QN 09,409,5.7642,38
Queens Community District 10,QN 10,410,5.3877,55
Queens Community District 11,QN 11,411,5.5855,48
Queens Community District 12,QN 12,412,5.5971,47
Queens Community District 13,QN 13,413,5.4419,51
Queens Community District 14,QN 14,414,5.0244,58
Staten Island Community District 1,SI 01,501,5.4293,52
Staten Island Community District 2,SI 02,502,5.2056,57
Staten Island Community District 3,SI 03,503,4.995,59
